統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
特異データ|とくいデータ|unique data; non-typical data
特権グループ|とっけんグループ|privileged groups
特権ユーザ|とっけんユーザ|privileged user; super user
特権属性証明|とっけんぞくせいしょうめい|Privilege-Attribute-Certificate
特権命令|とっけんめいれい|privileged instruction
特殊アクセス|とくしゅアクセス|specialized access
特殊レジスタ|とくしゅレジスタ|special register
特殊配達|とくしゅはいたつ|special delivery; PD PR
特殊文字|とくしゅもじ|special character
特殊文字語|とくしゅもじご|special-character word
特殊名|とくしゅめい|special-names
特殊名記述項|とくしゅめいきじゅつこう|special names entry
特注ソフトウェア|とくちゅうソフトウェア|custom software
特定の処理|とくていのしょり|specific task
特定マシン向け|とくていマシンむけ|machine-specific
特定割付け構造|とくていわりつけこうぞう|specific layout structure
特定記号|とくていきごう|identifier
特定業務向き言語|とくていぎょうむむきげんご|application-oriented language
特定子|とくていし|designator
特定数字|とくていすうじ|significant digit
特定文字データ実体|とくていもじデータじったい|specific character data entity
特定用途向けＩＣ|とくていようとむけアイシー|Application Specific Integrated Circuit
特定用途向け集積回路|とくていようとむけしゅうせきかいろ|Application-Specific Integrated Circuit; ASIC
特定論理構造|とくていろんりこうぞう|specific logical structure
独断的|どくだんてき|dogmatic; arbitrary
独立コンパイル|どくりつコンパイル|independent compilation; separate compilation
独立データ記述項|どくりつデータきじゅつこう|77-level-description-entry
独立ユティリティプログラム|どくりつユティリティプログラム|independent utility program
独立系ソフトウェアベンダ|どくりつけいソフトウェアベンダ|independent software vendor
独立系ソフトウェアメーカー|どくりつけいソフトウェアメーカー|ISV; Independent Software Vender
独立項目|どくりつこうもく|noncontiguous item
読み込み|よみこみ|reading; loading
読み込み許可|よみこみきょか|read permission
読み取り専用|よみとりせんよう|read only
読み取り専用メモリ|よみとりせんようメモリ|read-only memory; ROM
読み取り専用モード|よみとりせんようモード|read only mode
読み出し専用メモリ|よみだしせんようメモリ|read-only memory; ROM
読み出し端末|よみだしたんまつ|readout terminal
読み出し保護|よみだしほご|read protection
読取りサイクル時間|よみとりサイクルじかん|read cycle time
読取りヘッド|よみとりヘッド|read head
読取り書込みサイクル時間|よみとりかきこみサイクルじかん|read-write cycle time
読取り書込みスロット|よみとりかきこみスロット|read-write slot; read-write opening
読取り書込みヘッド|よみとりかきこみヘッド|read-write head
読取り書込み開口部|よみとりかきこみかいこうぶ|read-write slot; read-write opening
読取り書込み記憶装置|よみとりかきこみきおくそうち|RAM
読取り専用ファイルシステム|よみとりせんようファイルシステム|read-only file system
読取り専用記憶装置|よみとりせんようきおくそうち|read-only memory; ROM
読取り通路|よみとりつうろ|read path
読取り部|よみとりぶ|read station
内字|ないじ|internal character
内蔵オーディオ回路|ないぞうオーディオかいろ|integrated audio circuit
内蔵テンキーパッド|ないぞうテンキーパッド|embedded numeric keypad
内蔵モデム|ないぞうモデム|integral modem
内蔵型アレイプロセッサー|ないぞうがたアレイプロセッサー|IAP; Integrated Array Processor
内蔵装置|ないぞうそうち|built-in device
内部キャッシュ|ないぶキャッシュ|internal cache
内部クロック|ないぶクロック|internal clock
内部クロック同期|ないぶクロックどうき|internal clocking (clock synchronization)
内部コマンド|ないぶコマンド|internal command
内部データ|ないぶデータ|internal data
内部データ項目|ないぶデータこうもく|internal data item
内部バッファ|ないぶバッファ|internal buffer
内部ファイル|ないぶファイル|internal file
内部ファイルサービス|ないぶファイルサービス|internal file service
内部ファイル結合子|ないぶファイルけつごうし|internal file connector
内部メモリ|ないぶメモリ|internal storage; internal memory
内部ラベル|ないぶラベル|internal label
内部割り込み|ないぶわりこみ|internal interrupt
内部記憶|ないぶきおく|internal storage; internal memory
内部記憶装置|ないぶきおくそうち|internal storage device
内部参照|ないぶさんしょう|internal reference
内部手続|ないぶてつづき|internal procedure
内部処理|ないぶしょり|internal processing
内部詳細|ないぶしょうさい|internals
内部状態|ないぶじょうたい|internal state
内部副プログラム|ないぶふくプログラム|internal subprogram
内部変数|ないぶへんすう|local variable
内部様式|ないぶようしき|interior style
内容アドレス記憶装置|ないようアドレスきおくそうち|associative storage; content addressable storage
内容モデル|ないようモデル|content model
内容完全性|ないようかんぜんせい|content integrity
内容機密性|ないようきみつせい|content confidentiality
内容規則|ないようきそく|content convention
内容検索|ないようけんさく|content retrieval
内容呼び出しメモリ|ないようよびだしメモリ|Content Addressed Memory; CAM
内容呼出メモリ|ないようよびだしメモリ|Content Addressed Memory; CAM
内容種別|ないようしゅべつ|content type
内容体系|ないようたいけい|content architecture
内容長|ないようちょう|content-length
内容部|ないようぶ|content portion
内容分析|ないようぶんせき|content analysis
内容要素|ないようようそ|content element
難語集|なんごしゅう|glossary
二項|にこう|binomial; binary; dyadic
二項演算子|にこうえんざんし|binary operator
二次キャッシュ|にじキャッシュ|secondary cache
二次記憶装置|にじきおくそうち|secondary storage
二次局|にじきょく|secondary station
二次局状態|にじきょくじょうたい|secondary station status
二次元高速フーリエ変換|にじげんこうそくフーリエへんかん|two-dimensional fast Fourier transform
二次資料|にじしりょう|secondary source
二次文献|にじぶんけん|secondary document
二重リング|にじゅうリング|dual ring
二重引用符|にじゅういんようふ|double quotes
二重化|にじゅうか|duplication; redundancy
二重書き|にじゅうかき|overwriting
二重接続コンセントレータ|にじゅうせつぞくコンセントレータ|dual attachment concentrator
二重接続局|にじゅうせつぞくきょく|dual attachment station
二重通信|にじゅうつうしん|duplex
二乗機能|にじょうきのう|square function
二進表記法|にしんひょうきほう|binary notation
二段化構成|にだんかこうせい|two stage configuration
二段構成|にだんこうせい|two stage construction
二地点同接続|にちてんどうせつぞく|point-to-point connection
二分分類体系|にぶんぶんるいたいけい|dichotomized classification system
日経ＭＩＸ|にっけいミックス|Nikkei Mix Information eXchange
日別概要|にちべつがいよう|daily overview
日本語ドメイン名|にほんごドメインめい|Japanese domain name
日本語モード|にほんごモード|Japanese mode
日本語ワードプロセッサ|にほんごワードプロセッサ|Japanese word processor
日本語化|にほんごか|Japanese localization
日本語環境|にほんごかんきょう|Japanese environment
日本語入力ＦＥＰ|にほんごにゅうりょくエフイーピー|Japanese text entry front-end program
日本語版|にほんごばん|Japanese (language) version, edition
入れ子にする|いれこにする|to nest
入トラヒック|にゅうトラヒック|incoming traffic
入回線|にゅうかいせん|input line
入手可能|にゅうしゅかのう|available
入出力チャネル|にゅうしゅつりょくチャネル|input-output channel
入出力データ|にゅうしゅつりょくデータ|input-output data
入出力ファイル|にゅうしゅつりょくファイル|combined file
入出力プロセッサ|にゅうしゅつりょくプロセッサ|input-output processor; IOP
入出力管理|にゅうしゅつりょくかんり|i-o-control
入出力管理記述項|にゅうしゅつりょくかんりきじゅつこう|i-o-control entry
入出力機器|にゅうしゅつりょくきき|input-output device
入出力機構|にゅうしゅつりょくきこう|input-output unit; input-output device
入出力処理装置|にゅうしゅつりょくしょりそうち|Input; Output Processor; IOP
入出力状態|にゅうしゅつりょくじょうたい|i-o status
入出力制御システム|にゅうしゅつりょくせいぎょシステム|Input; Output Control System; IOCS
入出力制御装置|にゅうしゅつりょくせいぎょそうち|Input-Output Controller; IOC
入出力節|にゅうしゅつりょくせつ|input-output section
入出力装置|にゅうしゅつりょくそうち|input-output unit; input-output device
入出力文|にゅうしゅつりょくぶん|input-output statement
入出力両用ファイル|にゅうしゅつりょくりょうようファイル|input-output file
入出力両用モード|にゅうしゅつりょくりょうようモード|i-o mode
入力の流れ|にゅうりょくのながれ|job stream; run stream; input stream
入力キー|にゅうりょくキー|ENTER key
入力キュー|にゅうりょくキュー|input queue
入力クラス|にゅうりょくクラス|input class
入力サブシステム|にゅうりょくサブシステム|input subsystem
入力データ|にゅうりょくデータ|input data
入力デバイス|にゅうりょくデバイス|input device
入力ファイル|にゅうりょくファイル|input file
入力ファイル名|にゅうりょくファイルめい|input file name
入力フォーカス|にゅうりょくフォーカス|input focus
入力モード|にゅうりょくモード|input mode
入力応答|にゅうりょくおうとう|acknowledgment
入力画面|にゅうりょくがめん|input screen
入力基本要素|にゅうりょくきほんようそ|input primitive
入力機構|にゅうりょくきこう|input unit; input device
入力誤り|にゅうりょくあやまり|keyboard input error
入力行|にゅうりょくぎょう|input line
入力手続き|にゅうりょくてつづき|input procedure
入力受理|にゅうりょくじゅり|acknowledgment
入力順|にゅうりょくじゅん|input order
入力処理|にゅうりょくしょり|input process
入力制御|にゅうりょくせいぎょ|admission control
入力促進|にゅうりょくそくしん|prompt
入力値|にゅうりょくち|logical input value
入力中止動作|にゅうりょくちゅうしどうさ|break action
入力保護|にゅうりょくほご|input protection
入力用|にゅうりょくよう|read-only (file mode)
入力要求|にゅうりょくようきゅう|prompt
入力類|にゅうりょくるい|input class
任意キャラクタ|にんいキャラクタ|any character
任意型|にんいがた|any type
任意信号|にんいしんごう|optional
任意選択構成要素|にんいせんたくこうせいようそ|optional (O) component
任意選択属性|にんいせんたくぞくせい|non-mandatory attribute
任意選択利用者ファシリティ|にんいせんたくりようしゃファシリティ|optional user facilities
認証トークン|にんしょうトークン|authentication token; token
認証局|にんしょうきょく|Certificate Authority
認証交換|にんしょうこうかん|authentication exchange
認証情報|にんしょうじょうほう|authentication information
熱設計電力|ねつせっけいでんりょく|thermal design power
熱転写プリンタ|ねつてんしゃプリンタ|thermal wax transfer printer
年日付|ねんひづけ|ordinal date
納入業者|のうにゅうぎょうしゃ|supplier; provider; vendor
納本図書館|のうほんとしょかん|deposit library
能動的脅威|のうどうてききょうい|active threat
派生文献|はせいぶんけん|derivative document
破壊加算|はかいかさん|destructive addition
破壊的読み取り|はかいてきよみとり|destructive read
破壊読み出し|はかいよみだし|destructive read
破壊読取り|はかいよみとり|destructive read
破損クラスタ|はそんクラスタ|lost cluster
罵倒メール|ばとうメール|flame (e-)mail
廃棄セル|はいきセル|discarded cell
廃棄プライオリティ|はいきプライオリティ|discard priority; loss priority
廃止事項|はいしじこう|deleted feature
廃止予定|はいしよてい|obsolescent
廃止予定事項|はいしよていじこう|obsolescent feature
排除要素|はいじょようそ|exclusions
排他ディスパッチ機構|はいたディスパッチきこう|EDG; Exclusive Dispatching Group Facility
排他演算|はいたえんざん|exclusion; NOT-IF-THEN operation
排他制御|はいたせいぎょ|exclusive control
排他素子|はいたそし|NOT-IF-THEN gate; NOT-IF-THEN element
排他的論理和|はいたてきろんりわ|exclusive OR; XOR
排他的論理和演算|はいたてきろんりわえんざん|non-equivalence operation; EXCLUSIVE-OR operation
排他的論理和素子|はいたてきろんりわそし|EXCLUSIVE-OR gate; EXCLUSIVE-OR element
背景画像|はいけいがぞう|background image; static image
背景反射率|はいけいはんしゃりつ|background reflectance
配信ＥＩＴ|はいしんイーアイティー|delivered-EITs
配信の否認不能|はいしんのひにんふのう|non-repudiation of delivery
配信メッセージエントリ|はいしんメッセージエントリ|delivered-message entry
配信期限指定|はいしんきげんしてい|latest delivery designation
配信時刻表示|はいしんじこくひょうじ|delivery time stamp indication
配信証明|はいしんしょうめい|proof of delivery
配信通知|はいしんつうち|delivery notification
配信不能|はいしんふのう|non-delivery
配信不能通知|はいしんふのうつうち|non-delivery notification
配信保留|はいしんほりゅう|hold for delivery
配信報告|はいしんほうこく|delivery report
配信報告エントリ|はいしんほうこくエントリ|delivered-report entry
配信優先度選択|はいしんゆうせんどせんたく|grade of delivery selection
配線ケーブル|はいせんケーブル|distribution cable
配線盤|はいせんばん|distribution frame; plugboard
配電器|はいでんき|power distribution unit
配布先表|はいふさきひょう|Distribution List; DL
配布先表展開|はいふさきひょうてんかい|distribution list expansion
配布先表名|はいふさきひょうめい|distribution list name
配列ポインタ|はいれつポインタ|array pointer
配列値|はいれつち|array-valued
配列分割|はいれつぶんかつ|array partitioning
配列名|はいれつめい|array name
配列要素|はいれつようそ|array element
倍クロック技術|ばいクロックぎじゅつ|clock-doubling technology
倍パルス記録|ばいパルスきろく|double-pulse recording
倍角|ばいかく|double size of character
倍精度浮動小数点|ばいせいどふどうしょうすうてん|double precision floating point
倍速|ばいそく|speed (of CD ROM drives)
倍速ＣＤＲＯＭドライブ|ばいそくシーディーロムドライブ|double speed CD-ROM drive; (after number N) x N speed CD-ROM drive
倍長レジスタ|ばいちょうレジスタ|double length register; double register
倍長語|ばいちょうご|doubleword
倍幅文字|ばいはばもじ|double width character
倍密度|ばいみつど|double density
倍率付き測定単位|ばいりつつきそくていたんい|scaled measurement unit; SMU
媒体アクセス制御|ばいたいアクセスせいぎょ|MAC; Media Access Control
媒体アクセス制御プロトコル|ばいたいアクセスせいぎょプロトコル|MAC Protocol; Media Access Control Protocol
媒体アクセス制御副層|ばいたいアクセスせいぎょふくそう|Media Access Control sublayer
媒体インタフェースコネクタ|ばいたいインタフェースコネクタ|media interface connector; MIC
媒体依存インタフェース|ばいたいいぞんインタフェース|medium-dependent interface
媒体接続機構|ばいたいせつぞくきこう|medium attachment unit; MAU
博物館学|はくぶつかんがく|museology
博物館資料|はくぶつかんしりょう|museum
博物館資料記録技術|はくぶつかんしりょうきろくぎじゅつ|museography
白黒ディスプレイ|しろくろディスプレイ|monochrome display
白黒反転モード|しろくろはんでんモード|reverse video mode
白色雑音|はくしょくざつおん|white noise
薄膜トランジスタ|うすまくトランジスタ|thin film transistor; TFT
薄膜トランジスター|うすまくトランジスター|TFT; Thin Film Transistor
爆弾マーク|ばくだんマーク|bomb
八進細分記号|はちしんさいぶんきごう|octave device
発加入者|はっかにゅうしゃ|calling subscriber; calling party
発局|はっきょく|sending office; transmitting office
発見的|はっけんてき|heuristic
発見的方法|はっけんてきほうほう|heuristic method
発呼|はっこ|outgoing call
発光素子|はっこうそし|light emitter (fiber optics)
発行と引用|はっこうといんよう|publish and subscribe
発信の否認不能|はっしんのひにんふのう|non-repudiation of submission
発信拠点|はっしんきょてん|transmission point
発信元|はっしんもと|originator
発信源|はっしんげん|source
発信時刻表示|はっしんじこくひょうじ|submission time stamp indication; MS
発信者|はっしんしゃ|originator
発信者識別番号|はっしんしゃしきべつばんごう|call ID
発信者表示|はっしんしゃひょうじ|originator indication
発信者要求代行受信者|はっしんしゃようきゅうだいこうじゅしんしゃ|originator requested alternate recipient
発信証明|はっしんしょうめい|proof of submission
発信頻度|はっしんひんど|transmission frequency
発生源の否認不能|はっせいげんのひにんふのう|non-repudiation of origin
発生順|はっせいじゅん|chronological
発生頻度|はっせいひんど|frequency of occurrence
判断記号|はんだんきごう|decision symbol
判断命令|はんだんめいれい|decision instruction
判定基準|はんていきじゅん|criterion
半加算器|はんかさんき|half-adder
半加算機|はんかさんき|half adder
半減算器|はんげんさんき|half subtracter
半語|はんご|half-word
半値電力幅|はんちでんりょくはば|half power beamwidth (also 3dB beamwidth)
半導体ウエハ|はんどうたいウエハ|semiconductor wafer
半導体ディスク|はんどうたいディスク|semiconductor disk
半二重伝送|はんにじゅうでんそう|half-duplex transmission
半２重伝送|はんにじゅうでんそう|half-duplex transmission
反射モデル|はんしゃモデル|reflectance model
反射型カラー液晶ディスプレイ|はんしゃがたカラーえきしょうディスプレイ|reflective color LCD
反射計算|はんしゃけいさん|reflectance calculation
反射公式|はんしゃこうしき|reflectance formulae
反射特性|はんしゃとくせい|reflectance properties
反射法線|はんしゃほうせん|reflectance normal
反転表示|はんてんひょうじ|reverse video
反復演算|はんぷくえんざん|iterative operation; automatic sequential operation
汎欧州|はんおうしゅう|pan-European
汎用ＪＰドメイン名|はんようジェーピードメインめい|General-use JP Domain Names
汎用コンピュータ|はんようコンピュータ|general purpose computer
汎用レジスタ|はんようレジスタ|general purpose register
はん用レジスタ|はんようレジスタ|general purpose register
汎用階層ファイルモデル|はんようかいそうファイルモデル|general hierarchical model
はん用階層ファイルモデル|はんようかいそうファイルモデル|general hierarchical model
汎用体|はんようたい|generic unit
はん用体|はんようたい|generic unit
汎用定義|はんようていぎ|generic definitions
はん用定義|はんようていぎ|generic definitions
汎用的試験項目|はんようてきしけんこうもく|generic test case
はん用的試験項目|はんようてきしけんこうもく|generic test case
汎用的試験項目群|はんようてきしけんこうもくぐん|generic test suite
はん用的試験項目群|はんようてきしけんこうもくぐん|generic test suite
汎用入出力制御装置|はんようにゅうしゅつりょくせいぎょそうち|UIOC; Universal I; O Control unit
汎用名前付け規則|はんようなまえつけきそく|Universal Naming Convention
版数管理|はんすうかんり|version management; revision management
販売時点|はんばいじてん|Point-Of-Sale; POS
販売時点管理|はんばいじてんかんり|POS; Point Of Sales
範囲演算子|はんいえんざんし|range operator (..)
範囲検査|はんいけんさ|range check
範囲内|はんいない|in range; within range
範囲名|はんいめい|range name
範囲明示文|はんいめいじぶん|delimited scope statement
番号案内|ばんごうあんない|directory assistance
番号計画|ばんごうけいかく|numbering plan
番号通話|ばんごうつうわ|station-to-station (comms)
否定積|ひていせき|non-conjunction; NAND operation; NOT-BOTH operation
否定素子|ひていそし|NOT gate; NOT element
否定組合せ条件|ひていくみあわせじょうけん|negated combined condition
否定単純条件|ひていたんじゅんじょうけん|negated simple condition
否定論理積|ひていろんりせき|non-conjunction; NAND operation; NOT-BOTH operation
否定論理積演算|ひていろんりせきえんざん|Negative AND operation
否定論理積素子|ひていろんりせきそし|NAND gate; NAND element
否定論理和|ひていろんりわ|non-disjunction; NOR operation; NEITHER-NOR operation
否定論理和演算|ひていろんりわえんざん|Negative OR operation
否定論理和素子|ひていろんりわそし|NOR gate; NOR element
否定和|ひていわ|non-disjunction; NOR operation; NEITHER-NOR operation
比較演算子|ひかくえんざんし|relational operator; relation
比較関係|ひかくかんけい|comparative relation
比較器|ひかくき|comparator
比較式|ひかくしき|comparison expression
比較条件|ひかくじょうけん|relation condition
比較文字|ひかくもじ|relation character
比例に応じて|ひれいにおうじて|proportional
秘密鍵|ひみつかぎ|private key; secret key
秘密鍵暗号方式|ひみつかぎあんごうほうしき|secret key cryptosystem
秘密度表示|ひみつどひょうじ|sensitivity indication
秘密保持契約|ひみつほじけいやく|non-disclosure agreement; NDA
被加数|ひかすう|augend; summand
被管理システム|ひかんりシステム|managed (open) system
被管理開放型システム|ひかんりかいほうがたシステム|managed open system
非ＳＧＭＬデータ実体|ひエスジーエムエルデータじったい|non-SGML data entity
非ＳＧＭＬ文字|ひエスジーエムエルもじ|non-SGML character
非アクティブ化|ひアクティブか|deactivate
非アルファベット|ひアルファベット|non-alphabetic; non-alphanumeric
非クライアント|ひクライアント|non-client
非シールド|ひシールド|unshielded
非シールドより対線|ひシールドよりたいせん|Unshielded Twisted Pair; UTP
非０復帰０記録|ひゼロふっきゼロきろく|non-return-to-zero change-on-zeros recording; NRZ-0
非０復帰１記録|ひゼロふっきいちきろく|non-return-to-zero change-on-ones recording; NRZ-1
非０復帰１記録|ひゼロふっきいちきろく|non-return-to-zero (mark) recording; NRZ(M)
非ゼロ復帰マーク記録|ひゼロふっきマークきろく|non-return-to-zero change-on-ones recording; NRZ-1; non-return-to-zero (mark) recording; NRZ(M)
非ゼロ復帰記録|ひゼロふっききろく|non-return-to-zero recording; NRZ; non-return-to-reference recording
非ゼロ復帰変化記録|ひゼロふっきへんかきろく|non-return-to-zero (change) recording; NRZ(C)
非デスクリプタ|ひデスクリプタ|non-descriptor
非ノイマン型|ひノイマンがた|non-von Neumann architecure
非ノイマン形|ひノイマンがた|non-von Neumann architecure
非フレーム形式|ひフレームけいしき|unframed (format)
非リアルタイム|ひリアルタイム|non real time
非圧縮|ひあっしゅく|noncompressed
非安定マルチバイブレータ|ひあんていマルチバイブレータ|astable multivibrator
非一致演算|ひいっちえんざん|non-identity operation
非印刷文字|ひいんさつもじ|nonprinting character
非英数字|ひえいすうじ|non-alphanumeric character
非加算機能|ひかさんきのう|nonadd function
非可逆圧縮|ひかぎゃくあっしゅく|lossy compression
非会話モード|ひかいわモード|non-interactive mode
非基準復帰記録|ひきじゅんふっききろく|non-return-to-zero recording; NRZ; non-return-to-reference recording
非空白文字|ひくうはくもじ|nonwhite character
非結晶質|ひけっしょうしつ|amorphous
非公開受信者表示|ひこうかいじゅしんしゃひょうじ|blind copy recipient indication
非構造制約集合|ひこうぞうせいやくしゅうごう|unstructured (constraint set)
非実行文|ひじっこうぶん|nonexecutable statement
非手続き型言語|ひてつづきかたげんご|nonprocedural language
非集中型Ｎ多端点コネクション|ひしゅうちゅうがたエンたたんてんコネクション|decentralized (N)-multi-endpoint-connection
非衝撃式印字装置|ひしょうげきしきいんじそうち|nonimpact printer
非常駐|ひじょうちゅう|transient
非常用取り出しホール|ひじょうようとりだしホール|emergency eject hole
非図形文字|ひずけいもじ|nongraphic character
非数|ひすう|not a number; NaN
非整数値|ひせいすうち|non-integer value
非正則行列|ひせいそくぎょうれつ|singular matrix
非絶縁増幅器|ひぜつえんぞうふくき|non-isolated amplifier
非線形計画法|ひせんけいけいかくほう|non-linear programming
非対称データフロー|ひたいしょうデータフロー|asymmetric data flow
非対称型デジタルループ|ひたいしょうがたデジタルループ|asymmetric digital subscriber loop; ADSL
非対称型マルチプロセッサ|ひたいしょうかたマルチプロセッサ|asymmetric multiprocessor
非直結|ひちょっけつ|offline; off-line
非等価演算|ひとうかえんざん|non-equivalence operation; EXCLUSIVE-OR operation
非等時性伝送|ひとうじせいでんそう|anisochronous transmission
非同期バス|ひどうきバス|asynchronous bus
非同期応答モード|ひどうきおうとうモード|Asynchronous Response Mode; ARM
非同期式|ひどうきしき|asynchronous
非同期式伝送|ひどうきしきでんそう|asynchronous transmission
非同期手続き|ひどうきてつづき|asynchronous procedure
非同期通信アダプタ|ひどうきつうしんアダプタ|asynchronous communications adapter
非同期転送モード|ひどうきてんそうモード|Asynchronous Transfer Mode; ATM
非同期伝送|ひどうきでんそう|asynchronous transmission
非同期平衡モード|ひどうきへいこうモード|ABM; Asynchronous Balanced Mode
非破壊的|ひはかいてき|non-destructive
非破壊読取り|ひはかいよみとり|nondestructive read
非番号制コマンド|ひばんごうせいコマンド|unnumbered commands
非番号制レスポンス|ひばんごうせいレスポンス|unnumbered responses
非負整数|ひふせいすう|non-negative integer; whole number; natural number
非保護領域|ひほごりょういき|unprotected area
非優先語|ひゆうせんご|non-preferred term
非連鎖シーケンス|ひれんさシーケンス|unchained sequence
飛び越し走査|とびこしそうさ|interlace (e.g. on CRT screens); interlaced scanning
飛越し走査|とびこしそうさ|interlace (e.g. on CRT screens); interlaced scanning
飛び越し|とびこし|jump; transfer
飛越し|とびこし|jump; transfer
飛越し命令|とびこしめいれい|jump instruction
必す構成要素|ひっすこうせいようそ|mandatory (M) component
必す信号|ひっすしんごう|mandatory
必す属性|ひっすぞくせい|mandatory attribute; required attribute
必要メモリ|ひつようメモリ|required memory size
必要語|ひつようご|key word
百分率機能|ひゃくぶんりつきのう|percentage function
標準ＭＩＤＩファイル|ひょうじゅんミディファイル|Standard MIDI File; SMF
標準の応答メッセージ|ひょうじゅんのおうとうメッセージ|built-in greeting
標準アクセス速度|ひょうじゅんアクセスそくど|standard access rate
標準エラー|ひょうじゅんエラー|standard error
標準データ形式|ひょうじゅんデータけいしき|standard data format
標準モジュール|ひょうじゅんモジュール|standard module
標準ライブラリ|ひょうじゅんライブラリ|standard library
標準化団体|ひょうじゅんかだんたい|standards organization; standards body
標準解像度|ひょうじゅんかいぞうど|standard resolution (of TVs)
標準解像度|ひょうじゅんかいぞうど|low resolution
標準記法|ひょうじゅんきほう|standard notation
標準正規分布|ひょうじゅんせいきぶんぷ|standard normal distribution; z-distribution
標準属性|ひょうじゅんぞくせい|standard attribute
標準的|ひょうじゅんてき|standard; standardized
標準入出力|ひょうじゅんにゅうしゅつりょく|standard input; output
標題誌|ひょうだいし|title page
標本化定理|ひょうほんかていり|sampling theorem
標本間隔|ひょうほんかんかく|sampling interval
標本時刻|ひょうほんじこく|sampling time
標本分布|ひょうほんぶんぷ|sampling distribution
表プロセス|おもてプロセス|foreground process
表プロセスグループ|おもてプロセスグループ|foreground process group
