飛蝗目|ばったもく|Orthoptera
蚯蚓蜥蜴|みみずとかげ|worm lizard; amphisbaenian
ミミズトカゲ||worm lizard; amphisbaenian
海底電線|かいていでんせん|undersea cable (communications, power); submarine cable
会心の一撃|かいしんのいちげき|critical hit (esp. in RPGs)
口角泡|こうかくあわ|frothing at the mouth
口角あわ|こうかくあわ|frothing at the mouth
ピープルパーソン||people person
ピープル・パーソン||people person
ピープルパワー||people power
ピープル・パワー||people power
ゼロメートル||sea level
ゼロ・メートル||sea level
半割|はんざき|Japanese giant salamander (Andrias japonicus)
半裂|はんざき|Japanese giant salamander (Andrias japonicus)
ハンザキ||Japanese giant salamander (Andrias japonicus)
箱根山椒魚|はこねさんしょううお|Japanese clawed salamander (Onychodactylus japonicus)
ハコネサンショウウオ||Japanese clawed salamander (Onychodactylus japonicus)
鋤足蛙|すきあしがえる|spadefoot toad (Pelobatidae spp.)
スキアシガエル||spadefoot toad (Pelobatidae spp.)
鈴蛙|すずがえる|Oriental fire-bellied toad (Bombina orientalis)
スズガエル||Oriental fire-bellied toad (Bombina orientalis)
長亀|おさがめ|leatherback turtle (Dermochelys coriacea)
革亀|おさがめ|leatherback turtle (Dermochelys coriacea)
革亀|かわがめ|leatherback turtle (Dermochelys coriacea)
オサガメ||leatherback turtle (Dermochelys coriacea)
標高変動ベクトル|ひょうこうへんどうベクトル|elevation fluctuation vector
後手に回る|ごてにまわる|to be forestalled; to fall behind
後手にまわる|ごてにまわる|to be forestalled; to fall behind
藜海老|あかざえび|Japanese lobster (Metanephrops japonicus)
アカザエビ||Japanese lobster (Metanephrops japonicus)
第二共和政|だいにきょうわせい|(French) Second Republic
第２帝政|だいにていせい|(French) Second Empire
第一帝政|だいいちていせい|(French) First Empire
７月王政|しちがつおうせい|(French) July Monarchy
ボナパルティズム||Bonapartism
足相撲|あしずもう|Indian wrestling
ロッカー室|ロッカーしつ|locker room
付着生物|ふちゃくせいぶつ|periphyton
線材|せんざい|wire rod; wire
二値|にち|binary; two-valued
草稿本|そうこうぼん|rough draft of a book; draft-manuscript book; dummy comic book
刊|かん|publication; edition (e.g. morning, evening, special); published in (year); publication frequency (e.g. daily, monthly)
懇意になる|こんいになる|to get (become) acquainted; to get to know; to get (become) intimate with; to become friendly with; to become friends
教壇に立つ|きょうだんにたつ|to stand on a podium
教壇に立つ|きょうだんにたつ|to teach; to be a teacher
氏上|うじのかみ|head of a clan
氏の上|うじのかみ|head of a clan
氏長|うじのかみ|head of a clan
氏宗|うじのかみ|head of a clan
キャバ嬢|キャバじょう|hostess (in a hostess bar)
キャバクラ嬢|キャバクラじょう|hostess (in a hostess bar)
労金|ろうきん|workers' credit union; labour credit association
オバむ||(various meanings, including) to chant, "Yes we can, yes we can!"
随に|まにまに|at the mercy of (e.g. wind, waves); (act) as one is told (by)
随意に|まにまに|at the mercy of (e.g. wind, waves); (act) as one is told (by)
習熟度|しゅうじゅくど|proficiency level; degree of skill; learning level
漢字習熟度検定|かんじしゅうじゅくどけんてい|kanji proficiency test
漢熟検|かんじゅくけん|kanji proficiency test
前評判|まえひょうばん|(degree of) public interest in forthcoming event or performance; advance reviews
時候のあいさつ|じこうのあいさつ|season's greetings (conventional way of beginning a letter)
時候の挨拶|じこうのあいさつ|season's greetings (conventional way of beginning a letter)
あてなき旅|あてなきたび|journey without a destination
自然保護区|しぜんほごく|nature reserve
棊布|きふ|scattering (e.g. of islands, Go pieces, etc., often in a harmonious balance); dispersal; constellation; irregular spread
近め|ちかめ|somewhat near; fairly close
遠め|とおめ|somewhat far; fairly distant
寓する|ぐうする|to reside temporarily
寓する|ぐうする|to imply
隅っこ|すみっこ|corner; nook; recess
歯科検診|しかけんしん|dental exam; dental checkup
共同絶交|きょうどうぜっこう|ostracism (from a village or community)
吊りスカート|つりスカート|skirt with suspenders
方向指示器|ほうこうしじき|direction indicator; traffic indicator; turn signal
非零|ひれい|non-zero
齢|れい|instar
蟻蚕|ぎさん|silkworm (in the first or second instar)
下に見る|したにみる|to look down on; to despise; to condescend
巡航客船|じゅんこうきゃくせん|cruise ship
天花|てんげ|flowers that bloom in the heavens; paper flowers scattered before the Buddha's image
天花|てんけ|flowers that bloom in the heavens; paper flowers scattered before the Buddha's image
天華|てんげ|flowers that bloom in the heavens; paper flowers scattered before the Buddha's image
天華|てんけ|flowers that bloom in the heavens; paper flowers scattered before the Buddha's image
えり蚕|えりさん|eri silkmoth (Samia cynthia ricini); eri silkworm
エリサン||eri silkmoth (Samia cynthia ricini); eri silkworm
統計量|とうけいりょう|statistic
有意水準|ゆういすいじゅん|significance level; level of significance; critical p-value
数量的|すうりょうてき|quantitative
ギンギン||ecstatic; ecstatically
ギンギン||splitting headache
介在配列|かいざいはいれつ|intron
一棟借り|ひとむねがり|wholesale lease (on a building)
裏拳|うらけん|backhand blow; backhand chop; backfist (karate)
アナル||anal
アナル||to perform anal intercourse
現代戦|げんだいせん|modern warfare
あんこ||daughter; young lady
あんこ||young man; eldest son
あんこ||passive role in a male homosexual relationship
カナダ人権憲章|カナダじんけんけんしょう|Canadian Charter of Rights and Freedoms
権利と自由のカナダ憲章|けんりとじゆうのカナダけんしょう|Canadian Charter of Rights and Freedoms
自決権|じけつけん|right to self-determination
単一文化主義|たんいつぶんかしゅぎ|monoculturalism
カナダ進歩保守党|カナダしんぽほしゅとう|Progressive Conservative Party of Canada
二文化主義|にぶんかしゅぎ|biculturalism
山を掛ける|やまをかける|to speculate; to make an educated guess; to gamble (e.g. on getting the right questions)
山を張る|やまをはる|to speculate; to make an educated guess; to gamble (e.g. on getting the right questions)
難読化|なんどくか|obfuscation
法規範|ほうきはん|legal norm; legal standard
毛嚢炎|もうのうえん|folliculitis
修士号|しゅうしごう|master's degree
憲法規範|けんぽうきはん|constitutional norm
司法判断適合性|しほうはんだんてきごうせい|justiciability
子宮腔|しきゅうくう|cavitas uteri; cavity of uterus; cavum uteri
学習法|がくしゅうほう|way of learning; way of studying; way of mastering
ほうっと||deeply
空振|くうしん|atmospheric vibration; infrasound (as produced by volcanic activity)
空震|くうしん|atmospheric vibration; infrasound (as produced by volcanic activity)
着物スリップ|きものスリップ|full slip (combining hadajuban and susoyoke) worn under women's kimono
美品|びひん|like-new item; used item in mint condition
副専攻|ふくせんこう|minor (in university or college courses); sub-major
抗磁力|こうじりょく|coercivity; coercive force
保磁力|ほじりょく|coercivity; coercive force
再審裁判|さいしんさいばん|retrial
再審裁判所|さいしんさいばんしょ|court of review; retrial court
不沈|ふちん|unsinkable
過疎化|かそか|depopulation; declining population
自己防衛|じこぼうえい|self-defense
毎冬|まいふゆ|every winter
金の亡者|かねのもうじゃ|money monger; money-happy person; person who is money-mad; money-grubber
に伴い|にともない|as; because; with; due to
相即|そうそく|coming together and dissolving into oneness
相即|そうそく|being closely related; being inseparable
オスマン帝国|オスマンていこく|Ottoman Empire
イッカク科|イッカクか|Monodontidae; cetacean family comprising the narwhal and white beluga whale
ベルーガ||beluga whale (Delphinapterus Leucas)
マイナス思考|マイナスしこう|pessimism; negative thinking
電磁投射砲|でんじとうしゃほう|railgun; firearm that uses electromagnetism to propel a projectile
モップ掛け|モップがけ|(doing the) mopping
モップ掛け|モップかけ|(doing the) mopping
縦断的データ|じゅうだんてきデータ|longitudinal data
単走|たんそう|first or solo run in a race (grand prix, horse race, etc.)
葱トロ|ねぎトロ|tuna minced with Welsh onion leaves (type of sushi topping)
葱とろ|ねぎとろ|tuna minced with Welsh onion leaves (type of sushi topping)
ネギトロ||tuna minced with Welsh onion leaves (type of sushi topping)
電磁両立性|でんじりょうりつせい|electromagnetic compatibility; EMC
看護師長|かんごしちょう|head nurse
真実に迫る|しんじつにせまる|to close in on the truth
期待を寄せる|きたいをよせる|to pin one's hope on; to look forward to; to look toward; to get one's hopes up
最小国家主義|さいしょうこっかしゅぎ|Minarchism
にしろ||though; even if; whether ... or ...
食人|しょくじん|cannibalism; anthropophagism
減却|げんきゃく|reduction; decrease
とことこ||briskly with small steps; trotting
繰り上がり|くりあがり|increase in digit (e.g. if we add 2 to the number 9)
繰上がり|くりあがり|increase in digit (e.g. if we add 2 to the number 9)
確かめ算|たしかめざん|checking (e.g. result of calculation)
灯体|とうたい|theatrical light; instrument (US theatre light); lantern (UK theatre light); stage light
複合添加|ふくごうてんか|compound addition; multiple addition
錯化合物|さくかごうぶつ|complex compound; chelate compound
乳化重合|にゅうかじゅうごう|emulsion polymerization
特定省電力無線機|とくていしょうでんりょくむせんき|special low power transceiver (wireless)
横断的データ|おうだんてきデータ|cross-sectional data
消波ブロック|しょうはブロック|wave-dissipating concrete block; tetrapod
ラージ||large
手のかかる|てのかかる|troublesome; difficult (e.g. customer, guest, child); laborious (e.g. task, dinner)
手の掛かる|てのかかる|troublesome; difficult (e.g. customer, guest, child); laborious (e.g. task, dinner)
おかか||finely chopped katsuobushi, sometimes with soy sauce
四分法|しぶんほう|fractional sampling; method of quartering; quartation
四分法|しぶんほう|method of lunar calendar formulation
無くても|なくても|even if not; even without
一軸性結晶|いちじくせいけっしょう|uniaxial crystal; GE
花蕾|からい|flower bud
丁香|ちょうこう|clove (Syzygium aromaticum)
お毛々|おけけ|pubic hair
お毛毛|おけけ|pubic hair
御毛々|おけけ|pubic hair
御毛毛|おけけ|pubic hair
大骨|おおぼね|large bone; thick bone
内視鏡検査|ないしきょうけんさ|endoscopy
省スペース|しょうスペース|space-saving
跳地鼠|はねじねずみ|elephant shrew (Macroscelididae spp.)
ハネジネズミ||elephant shrew (Macroscelididae spp.)
調光レンズ|ちょうこうレンズ|photochromatic lens
かなにか||or something
郷に入れば郷に従え|ごうにいればごうにしたがえ|when in Rome, do as the Romans do
下向く|したむく|to point down; to look down
下向く|したむく|to get worse; to begin to fall (e.g. of a price)
下面|かめん|underside; undersurface; inferior surface
下膊|かはく|forearm
化け|ばけ|transforming oneself; taking on another form; disguising oneself
化け|ばけ|artificial fly (for fishing)
化学的性質|かがくてきせいしつ|chemical property
化学量論|かがくりょうろん|stoichiometry
仮株券|かりかぶけん|scrip; interim certificate
仮現運動|かげんうんどう|apparent movement
仮種皮|かしゅひ|aril
仮象|かしょう|semblance; appearance
何処やら|どこやら|somewhere
何処やら|どこやら|somehow
何所やら|どこやら|somewhere
何所やら|どこやら|somehow
加えて|くわえて|additionally; in addition; moreover; at the same time
可動コイル形|かどうコイルがた|moving-coil
果たせるかな|はたせるかな|as expected
果たせる哉|はたせるかな|as expected
果せる哉|はたせるかな|as expected
果柄|かへい|stem (of a fruit); gynophore
河食|かしょく|fluvial erosion
河蝕|かしょく|fluvial erosion
火を吹く|ひをふく|to burst into flames
火を吹く|ひをふく|to fire (of a gun)
火を吹く|ひをふく|to fan a fire with one's breath
火球|かきゅう|fireball
火球|かきゅう|bolide
此れ式|これしき|trifle; insignificant thing; (only) this much
是式|これしき|trifle; insignificant thing; (only) this much
つけ汁|つけじる|dipping sauce
つけ汁|つけしる|dipping sauce
付け汁|つけじる|dipping sauce
付け汁|つけしる|dipping sauce
付汁|つけじる|dipping sauce
付汁|つけしる|dipping sauce
漬け汁|つけじる|marinade
漬け汁|つけしる|marinade
茶封筒|ちゃぶうとう|brown envelope; manila envelope
国交相|こっこうしょう|Minister of Land, Infrastructure and Transportation
懲りない|こりない|(someone who) doesn't learn their lesson; obstinate
懲りない奴|こりないやつ|person (generally male) who won't learn their lesson; persistent jerk
懲りないやつ|こりないやつ|person (generally male) who won't learn their lesson; persistent jerk
連続撮影|れんぞくさつえい|continuous shooting (camera)
臭豆腐|しゅうどうふ|fermented tofu; stinky tofu; smelly tofu
臭豆腐|ちょうどうふ|fermented tofu; stinky tofu; smelly tofu
チョウドウフ||fermented tofu; stinky tofu; smelly tofu
儚む|はかなむ|to despair of; to see the vanity of
果敢なむ|はかなむ|to despair of; to see the vanity of
果敢無む|はかなむ|to despair of; to see the vanity of
岩組み|いわぐみ|arrangement of stones in a garden
岩組|いわぐみ|arrangement of stones in a garden
炎夏|えんか|hot summer
炎夏|えんか|middle of summer
中間地点|ちゅうかんちてん|halfway point
興味を持つ|きょうみをもつ|to have an interest
興味をもつ|きょうみをもつ|to have an interest
エクセルシート||Excel spreadsheet
エクセル・シート||Excel spreadsheet
小電力|しょうでんりょく|low-power (electric)
北栗鼠|きたりす|red squirrel (Sciurus vulgaris)
キタリス||red squirrel (Sciurus vulgaris)
台湾栗鼠|たいわんりす|Taiwanese squirrel (subspecies of Pallas's squirrel, Callosciurus erythraeus thaiwanensis)
タイワンリス||Taiwanese squirrel (subspecies of Pallas's squirrel, Callosciurus erythraeus thaiwanensis)
闇社会|やみしゃかい|underground world; underground society
データシリーズ||data series
データ・シリーズ||data series
蝦夷栗鼠|えぞりす|Hokkaido squirrel (subspecies of red squirrel, Sciurus vulgaris orientis)
エゾリス||Hokkaido squirrel (subspecies of red squirrel, Sciurus vulgaris orientis)
旅人|たびにん|nomad; person who goes from place to place, gambling, etc.; pilgrim
耳茸|じじょう|ear polyp; aural polyp
耳茸|みみたけ|ear polyp; aural polyp
書き始める|かきはじめる|to begin to write; to begin writing
書き始める|かきはじめる|to begin to draw; to begin drawing; to begin painting
描き始める|かきはじめる|to begin to write; to begin writing
描き始める|かきはじめる|to begin to draw; to begin drawing; to begin painting
家畜囲い|かちくかこい|cattle pen
安全保護|あんぜんほご|security
季節性|きせつせい|seasonality; seasonal
季節性情動障害|きせつせいじょうどうしょうがい|Seasonal Affective Disorder; SAD
過呼吸|かこきゅう|hyperventilation; overbreathing; hyperpnea; overventilation
舌が回る|したがまわる|to speak without hesitation or problems; to speak fluently or skillfully; to be talkative; to have a glib tongue
厚膜胞子|こうまくほうし|chlamydospore (thick-walled spore that can survive harsh conditions)
カーきち||petrolhead; car nut
カーキチ||petrolhead; car nut
カーマニア||car enthusiast; car buff
カー・マニア||car enthusiast; car buff
カーレーサー||racing driver
カー・レーサー||racing driver
のか||endorsing and questioning the preceding statement (sentence ending particle); lamenting reflections on the preceding statement (sentence ending particle)
Ｔ字路|ティーじろ|T junction
五叉路|ごさろ|five-forked road; five-road junction
５叉路|ごさろ|five-forked road; five-road junction
法術|ほうじゅつ|practising law
法術|ほうじゅつ|legal processes in running a country
法術|ほうじゅつ|method; way; means
法術|ほうじゅつ|magic
野萱草|のかんぞう|day lily (Hemerocallis fulva var. distiche)
ノカンゾウ||day lily (Hemerocallis fulva var. distiche)
火消し役|ひけしやく|fireman (in Edo)
火消し役|ひけしやく|problem-solver; fixer
火消役|ひけしやく|fireman (in Edo)
火消役|ひけしやく|problem-solver; fixer
定火消し|じょうびけし|fireman (in Edo)
定火消|じょうびけし|fireman (in Edo)
走鳥類|そうちょうるい|ratites
平胸類|へいきょうるい|ratites
阿鼻|あび|Avici (lowest level of hell)
蝙蝠蛾|こうもりが|swift moth (Hepialidae spp., esp. Endoclita excrescens)
コウモリガ||swift moth (Hepialidae spp., esp. Endoclita excrescens)
原獣類|げんじゅうるい|prototherians
袋熊|ふくろぐま|koala (Phascolarctos cinereus)
フクログマ||koala (Phascolarctos cinereus)
ファッションヘルス||prostitution (in the guise of a massage service)
ファッション・ヘルス||prostitution (in the guise of a massage service)
アグーチ||Brazilian agouti (Dasyprocta leporina)
荒地鼠|あれちねずみ|lesser Egyptian gerbil (Gerbillus gerbillus)
アレチネズミ||lesser Egyptian gerbil (Gerbillus gerbillus)
奇蹄類|きているい|perissodactyls; odd-toed ungulates
エピオルニス||aepyornis; elephant bird
鼻中隔|びちゅうかく|nasal septum
カズワル||cassowary (Casuarius spp.)
玉繭|たままゆ|dupion (double cocoon formed jointly by two or more silkworms); dupioni
玉繭|たままゆ|cocoon
金銭トラブル|きんせんトラブル|money problems
国民食|こくみんしょく|food universally loved by all citizens; comfort food
野雁|のがん|bustard (esp. the great bustard, Otis tarda)
鴇|のがん|bustard (esp. the great bustard, Otis tarda)
ノガン||bustard (esp. the great bustard, Otis tarda)
磯焼け|いそやけ|rocky-shore denudation; sea desert; sea desertification
鹿の角切り|しかのつのきり|Deer-Antler-Cutting Ceremony (held in Nara between late October and early November)
枝角類|しかくるい|cladocerans
飛膜|ひまく|patagium (vertebrate flying or gliding membrane)
児童館|じどうかん|children's house; child welfare residential facility
格技場|かくぎじょう|training place; dojo
挌技場|かくぎじょう|training place; dojo
格技|かくぎ|martial arts which involve fighting without weapons; combat sport; one-on-one fighting sport
挌技|かくぎ|martial arts which involve fighting without weapons; combat sport; one-on-one fighting sport
小腹が立つ|こばらがたつ|to be slightly offended; to be somewhat irritated
小腹がたつ|こばらがたつ|to be slightly offended; to be somewhat irritated
終脳|しゅうのう|telencephalon
端脳|たんのう|telencephalon
異なり|ことなり|unlike; unique; unusual
たの||(usu. sentence end) indicates emotion, admiration, emphasis, etc.
自己責任|じこせきにん|self-responsibility; on one's own responsibility; at one's own risk
膝をつく|ひざをつく|to fall to one's knees; to go down on one's knees (e.g. to express respect)
膝を突く|ひざをつく|to fall to one's knees; to go down on one's knees (e.g. to express respect)
マルチプレイ||multiplayer
マルチプレイヤ||multiplayer (i.e. game)
双星|そうせい|amphiaster; diaster
双星|そうせい|double star; visual double
ビーチク||nipple
胸を撫で下ろす|むねをなでおろす|to be relieved; to feel relieved
胸をなで下ろす|むねをなでおろす|to be relieved; to feel relieved
胸をなでおろす|むねをなでおろす|to be relieved; to feel relieved
ビーチクラフト||surface craft
ビーチ・クラフト||surface craft
祓殿|はらえどの|purification hall of a Shinto shrine
祓殿|はらいどの|purification hall of a Shinto shrine
祓殿|はらいでん|purification hall of a Shinto shrine
玉殿|ぎょくでん|palace decorated with jewels; beautiful palace
玉殿|たまどの|alias for fox (from a statue in the Inarimae shrine)
通約|つうやく|commensuration; reduction to a common measure
入眠時レム期|にゅうみんじレムき|sleep onset REM period; SOREMP
破婚|はこん|marriage breakup; divorce; engagement breakup
人集め|ひとあつめ|throng; gathering of people
当接|とうせつ|coming into contact; abutting
古人骨|こじんこつ|ancient human skeleton; archaeological human remains
義認|ぎにん|justification (by faith)
手をかける|てをかける|to lay hands on; to touch
手をかける|てをかける|to care for; to look after
手をかける|てをかける|to make off with; to steal
手を掛ける|てをかける|to lay hands on; to touch
手を掛ける|てをかける|to care for; to look after
手を掛ける|てをかける|to make off with; to steal
所狭し|ところせまし|crowded; overflowing; cramped
所狭し|ところせし|crowded; overflowing; cramped
ところ狭し|ところせまし|crowded; overflowing; cramped
ところ狭し|ところせし|crowded; overflowing; cramped
所せまし|ところせまし|crowded; overflowing; cramped
所せし|ところせし|crowded; overflowing; cramped
所狭い|ところせまい|crowded; overflowing; cramped
璽符|じふ|imperial seal
つり銭口|つりせんぐち|coin return slot; change slot
釣銭口|つりせんぐち|coin return slot; change slot
釣り銭口|つりせんぐち|coin return slot; change slot
返金口|へんきんぐち|coin return slot; change slot
和柄|わがら|traditional Japanese pattern; traditional Japanese design
書いとく|かいとく|to write down
ずらずら||in succession; in an endless stream; continuing without pause or interruption
味噌糞|みそくそ|harsh; severe (e.g. criticism, verbal attack)
味噌糞|みそくそ|jumble; mess
ミソ糞|ミソくそ|harsh; severe (e.g. criticism, verbal attack)
ミソ糞|ミソくそ|jumble; mess
味噌クソ|みそクソ|harsh; severe (e.g. criticism, verbal attack)
味噌クソ|みそクソ|jumble; mess
ミソクソ||harsh; severe (e.g. criticism, verbal attack)
ミソクソ||jumble; mess
黒紫色|こくししょく|dark purple
座を占める|ざをしめる|to take a seat; to sit
座を占める|ざをしめる|to occupy a position (e.g. committee president)
王座を占める|おうざをしめる|to occupy the throne; to sit on the royal throne
王座を占める|おうざをしめる|to be at the top; to hold the premier position; to win a championship
パトる||to have your party wiped out (in the RPG Shin Megami Tensei: Nocturne)
添加剤供給|てんかざいきょうきゅう|additive supply
形態機能的|けいたいきのう|morphofunctional
形態・機能的|けいたいきのう|morphofunctional
形態機能的変化|けいたいきのうてきへんか|morphofunctional modifications
形態・機能的変化|けいたいきのうてきへんか|morphofunctional modifications
粒子径|りゅうしけい|particle size; particle diameter
時効取得|じこうしゅとく|usucaption; acquisitive prescription; positive prescription
巫覡|ふげき|shaman; oracle; diviner; medium
一呼吸|ひとこきゅう|short pause; short interval
ひと呼吸|ひとこきゅう|short pause; short interval
祝|はふり|junior Shinto priest
