王妃|おうひ|queen
沖縄県|おきなわけん|Okinawa prefecture
荻|おぎ|Amur silvergrass (Miscanthus sacchariflorus)
億|おく|10^8; 100,000,000; hundred million
億ション|おくション|(luxury) apartment
億劫|おっくう|troublesome; bothersome; tiresome; annoying
億劫|おくこう|troublesome; bothersome; tiresome; annoying
億劫|おっこう|troublesome; bothersome; tiresome; annoying
億兆|おくちょう|the people; multitude; masses
億万長者|おくまんちょうじゃ|billionaire; multimillionaire; very rich person
屋外|おくがい|outdoors; alfresco
屋号|やごう|name of store; trade name
屋号|やごう|stage name (e.g. of actor)
家号|やごう|name of store; trade name
家号|やごう|stage name (e.g. of actor)
屋根|やね|roof
家根|やね|roof
屋上|おくじょう|rooftop
屋台|やたい|cart (esp. a food cart); stall; stand
屋台|やたい|festival float; portable shrine dedicated to a god and shaped like a house; dancing platform
屋台|やたい|stage prop fashioned after a large building
屋台|やたい|framework (of a house, etc.)
屋台|やたい|house (esp. a small and miserable house)
屋体|やたい|cart (esp. a food cart); stall; stand
屋体|やたい|festival float; portable shrine dedicated to a god and shaped like a house; dancing platform
屋体|やたい|stage prop fashioned after a large building
屋体|やたい|framework (of a house, etc.)
屋体|やたい|house (esp. a small and miserable house)
家台|やたい|cart (esp. a food cart); stall; stand
家台|やたい|festival float; portable shrine dedicated to a god and shaped like a house; dancing platform
家台|やたい|stage prop fashioned after a large building
家台|やたい|framework (of a house, etc.)
家台|やたい|house (esp. a small and miserable house)
屋内|おくない|indoor (court, pool, etc.)
憶説|おくせつ|hypothesis; speculation; surmise; conjecture
臆説|おくせつ|hypothesis; speculation; surmise; conjecture
憶念|おくねん|something one always remembers
臆念|おくねん|something one always remembers
臆病|おくびょう|cowardice; timidity
憶病|おくびょう|cowardice; timidity
おく病|おくびょう|cowardice; timidity
臆面|おくめん|shy face
臆面もない|おくめんもない|bold; audacious; impudent; unashamed; unabashed
臆面もなく|おくめんもなく|boldly; audaciously; impudently; unashamedly; unabashedly
桶|おけ|bucket; pail; tub
牡牛|おうし|bull; ox; steer
雄牛|おうし|bull; ox; steer
牡牛座|おうしざ|Taurus (constellation); the Bull
おうし座|おうしざ|Taurus (constellation); the Bull
牡丹|ぼたん|tree peony (Paeonia suffruticosa); moutan
牡丹|ぼたん|wild boar (meat)
ボタン||tree peony (Paeonia suffruticosa); moutan
ボタン||wild boar (meat)
牡丹餅|ぼたもち|adzuki bean mochi
ぼた餅|ぼたもち|adzuki bean mochi
牡羊|おひつじ|ram
雄羊|おひつじ|ram
牡羊座|おひつじざ|Aries (constellation); the Ram
おひつじ座|おひつじざ|Aries (constellation); the Ram
牡蠣|かき|oyster; oyster shell
牡蠣|ぼれい|oyster; oyster shell
牡蛎|かき|oyster; oyster shell
牡蛎|ぼれい|oyster; oyster shell
蠣|かき|oyster; oyster shell
硴|かき|oyster; oyster shell
カキ||oyster; oyster shell
乙|おつ|second (party to an agreement); the B party (e.g. in a contract); the latter; defendant
乙|おつ|stylish; chic; spicy; witty; tasty; romantic
乙|おつ|strange; quaint; queer
乙|おつ|thank you; good job; goodbye; goodnight
オツ||second (party to an agreement); the B party (e.g. in a contract); the latter; defendant
オツ||stylish; chic; spicy; witty; tasty; romantic
オツ||strange; quaint; queer
オツ||thank you; good job; goodbye; goodnight
乙|きのと|second in rank; second sign of the Chinese calendar
乙な味|おつなあじ|strange taste; spicy taste
乙子|おとご|last child
乙巡|おつじゅん|second-class cruiser
乙女座|おとめざ|Virgo (constellation); the Virgin
おとめ座|おとめざ|Virgo (constellation); the Virgin
乙女心|おとめごころ|girl's feeling; maiden's mind
卸商|おろししょう|wholesaler; wholesale dealer
卸し商|おろししょう|wholesaler; wholesale dealer
卸し問屋|おろしどんや|wholesaler
卸問屋|おろしどんや|wholesaler
卸す|おろす|to sell wholesale
卸す|おろす|to grate (e.g. vegetables)
卸す|おろす|to cut up fish
卸酒販|おろししゅはん|wholesale alcohol trade
卸相場|おろしそうば|wholesale price
卸売物価指数|おろしうりぶっかしすう|wholesale price index; WPI
恩|おん|favour; favor; obligation; debt of gratitude
恩がある|おんがある|to be in one's debt
恩が有る|おんがある|to be in one's debt
恩を仇で返す|おんをあだでかえす|to return evil for good
恩をあだで返す|おんをあだでかえす|to return evil for good
恩愛|おんあい|kindness and affection; love
恩愛|おんない|kindness and affection; love
恩給|おんきゅう|pension (esp. public servant's)
恩給|おんきゅう|a lord giving a land holding to a vassal
恩恵|おんけい|grace; favor; favour; blessing; benefit
恩顧|おんこ|favour; favor; patronage
恩師|おんし|teacher; one's former teacher
恩賜|おんし|Imperial gift
恩赦|おんしゃ|amnesty; pardon
恩借|おんしゃく|loan; borrowing
恩讐|おんしゅう|love and hate
恩讎|おんしゅう|love and hate
恩賞|おんしょう|reward
恩情|おんじょう|compassion; affection
恩人|おんじん|benefactor; patron
恩沢|おんたく|favour; favor; benefit
恩沢|おんだく|favour; favor; benefit
恩知らず|おんしらず|ingratitude
恩寵|おんちょう|grace; favour; favor
恩典|おんてん|favour; favor; act of grace; special privilege
恩返し|おんがえし|requital of a favour (favor); repayment (of an obligation, kindness, etc.)
恩命|おんめい|gracious command or words
温い|ぬるい|lukewarm; tepid
温い|ぬるい|lenient
温い|ぬくい|lukewarm; tepid
温い|ぬくい|slow; stupid
緩い|ぬるい|lenient
微温い|ぬるい|lukewarm; tepid
微温い|ぬるい|lenient
温み|ぬくみ|warmth
温む|ぬるむ|to become lukewarm; to become tepid
温もり|ぬくもり|warmth
温雅|おんが|graceful; affable
温海|あつみ|warm sea
温顔|おんがん|kindly face
温灸|おんきゅう|moxa cautery
温厚|おんこう|gentle
温室|おんしつ|greenhouse; hothouse; conservatory; glasshouse
温順|おんじゅん|docile; tame
温床|おんしょう|hotbed; breeding ground
温情|おんじょう|warm heart; kindliness
温色|おんしょく|warm colour; warm color; angry countenance
温水|おんすい|warm water
温泉|おんせん|spa; hot spring; onsen
温存|おんぞん|preservation; retainment; keeping
温帯|おんたい|temperate zone
温暖|おんだん|warm; mild; temperate; warmth
温暖化現象|おんだんかげんしょう|greenhouse effect
温点|おんてん|heat spot; warm spot; hot spot; hot point
温度|おんど|temperature
温度計|おんどけい|thermometer
温湯|おんとう|comfortably hot bath; hot spring
温熱|おんねつ|warmth; heat
温熱性|おんねつせい|thermal
温容|おんよう|kindly face
温浴|おんよく|hot bath
温良|おんりょう|gentle; amiable
穏やか|おだやか|calm; gentle; quiet
穏健|おんけん|quiet; dependable; uniform; (politically) moderate
穏当|おんとう|proper; reasonable; right; appropriate
穏便|おんびん|gentle; peaceable; amicable; quiet
穏便|おんびん|without fuss; simply
音を立てる|おとをたてる|to make a sound
音をたてる|おとをたてる|to make a sound
音域|おんいき|singing range; register
音韻|おんいん|vocal sound; phoneme
音韻学|おんいんがく|phonetics; phonology
音価|おんか|phonetic value
音階|おんかい|musical scale
音楽|おんがく|music; musical movement
音楽の素質|おんがくのそしつ|aptitude for music
音楽会|おんがくかい|concert; recital
音楽会|おんがっかい|concert; recital
音樂會|おんがくかい|concert; recital
音樂會|おんがっかい|concert; recital
音楽史|おんがくし|music history
音楽大学|おんがくだいがく|college of music; school of music; music college
音感|おんかん|sense of sound; sense of pitch
音響|おんきょう|sound; noise; acoustics; reverberation; echo; audio
音響カプラー|おんきょうカプラー|acoustic coupler
音響カプラ|おんきょうカプラー|acoustic coupler
音曲|おんぎょく|songs with samisen accompaniment; musical performance
音訓|おんくん|kanji readings
音源|おんげん|sound source; sound generator; tone generator
音叉|おんさ|tuning fork
音さ|おんさ|tuning fork
音沙汰|おとさた|news; letter
音字|おんじ|syllabary; phonetic symbol
音質|おんしつ|tone quality; sound quality
音信|おんしん|correspondence; news; letter; tidings
音信|いんしん|correspondence; news; letter; tidings
音声|おんせい|voice; (the concept of) sound
音声|おんじょう|voice; (the concept of) sound
音声圧縮|おんせいあっしゅく|voice compression
音声学|おんせいがく|phonetics
音節|おんせつ|syllable
音栓|おんせん|organ stop
音素|おんそ|phoneme
音像|おんぞう|stereo image (audio)
音速|おんそく|speed of sound
音調|おんちょう|tune; tone; intonation; melody; rhythm; harmony
音程|おんてい|musical interval; step
音頭|おんど|leading a group of people; someone who leads others into a song by singing the leading notes
音頭|おんど|workmen's songs; marching songs
音読|おんどく|reading aloud
音読|おんどく|reading a kanji by its Chinese-derived pronunciation
音読み|おんよみ|on reading; on'yomi; Chinese-derived reading of a kanji
音波|おんぱ|sound wave
音盤|おんばん|phonograph record; gramophone record
音標文字|おんぴょうもじ|phonetic symbols
音符|おんぷ|musical note; note symbol
音符|おんぷ|phonetic symbol (incl. the kanji and kana-doubling symbols, vowel-lengthening symbol, etc.)
音符|おんぷ|part of a kanji for which the role is primarily to represent the pronunciation (as opposed to the meaning)
音譜|おんぷ|music; notes; notation
音部記号|おんぶきごう|clef
音便|おんびん|euphony; euphonic change
音名|おんめい|names of musical notes
音訳|おんやく|transliteration; transcription
音容|おんよう|visage; voice and countenance
音律|おんりつ|metre; rhythm; musical temperament
音量|おんりょう|volume (sound)
音力|おんりょく|strength of the voice
下|した|below; down; under; younger (e.g. daughter)
下|した|bottom
下|した|beneath; underneath
下|した|just after; right after
下|した|inferiority; one's inferior (i.e. one's junior)
下|した|trade-in
下|した|preliminary; preparatory
下がり松|さがりまつ|drooping pine
下がる|さがる|to come down; to go down; to fall; to drop; to sink; to get lower
下がる|さがる|to hang; to dangle
下がる|さがる|to move back; to step back; to withdraw; to retire
下がる|さがる|to deteriorate; to fall off; to be downgraded
下がる|さがる|to get closer to the present day
下がる|さがる|to go south
下る|さがる|to come down; to go down; to fall; to drop; to sink; to get lower
下る|さがる|to hang; to dangle
下る|さがる|to move back; to step back; to withdraw; to retire
下る|さがる|to deteriorate; to fall off; to be downgraded
下る|さがる|to get closer to the present day
下る|さがる|to go south
下げる|さげる|to hang; to suspend; to wear (e.g. decoration)
下げる|さげる|to lower; to reduce; to bring down
下げる|さげる|to demote; to move back; to pull back
下げる|さげる|to clear (plates); to remove (food, etc. from table or altar)
下げ札|さげふだ|tag; label
下げ振り|さげふり|plummet; plumb bob
下げ相場|さげそうば|bearish market
下げ足|さげあし|downturn (in the market)
下げ潮|さげしお|ebb tide
下げ渡す|さげわたす|to make a (government) grant
下げ渡す|さげわたす|to release (a criminal)
下げわたす|さげわたす|to make a (government) grant
下げわたす|さげわたす|to release (a criminal)
下げ髪|さげがみ|pigtail; ponytail; hair (hanging down the back)
下げ幕|さげまく|drop curtain
下げ翼|さげよく|wing flap
下さい|ください|please give me
下さい|ください|please do for me
下さる|くださる|to give; to confer; to bestow
下さる|くださる|to kindly do for one; to oblige; to favour; to favor
下し|くだし|evacuation; purgation
下し大根|おろしだいこん|grated radish; grated daikon
卸し大根|おろしだいこん|grated radish; grated daikon
下し薬|くだしぐすり|laxative
下す|くだす|to make a decision; to draw a conclusion
下す|くだす|to give a judgement; to hand down a verdict; to pass a sentence; to give an order
下す|くだす|to let go down; to lower
下す|くだす|to do oneself; to do by oneself
下す|くだす|to beat; to defeat
下す|くだす|to have loose bowels; to have diarrhea
下す|くだす|to pass (in stool); to discharge from the body
下す|くだす|to do in one go; to do to the end without stopping
降す|くだす|to make a decision; to draw a conclusion
降す|くだす|to give a judgement; to hand down a verdict; to pass a sentence; to give an order
降す|くだす|to let go down; to lower
降す|くだす|to do oneself; to do by oneself
降す|くだす|to beat; to defeat
降す|くだす|to have loose bowels; to have diarrhea
降す|くだす|to pass (in stool); to discharge from the body
降す|くだす|to do in one go; to do to the end without stopping
下っ端|したっぱ|underling; lower position
下っぱ|したっぱ|underling; lower position
下っ腹|したっぱら|abdomen; stomach; under parts
下の句|しものく|the last part of a poem or Bible verse
下らない|くだらない|good-for-nothing; stupid; trivial; worthless
下り|くだり|down-train (going away from Tokyo)
下り|くだり|down-slope; downward going
下り坂|くだりざか|descent; downhill; decline; waning
下り上り|おりのぼり|going up and down
下り物|おりもの|vaginal discharge
下り物|おりもの|menstruation
下り物|おりもの|afterbirth
下りもの|おりもの|vaginal discharge
下りもの|おりもの|menstruation
下りもの|おりもの|afterbirth
下り目|さがりめ|eyes slanting downward; decline
下がり目|さがりめ|eyes slanting downward; decline
下り立つ|おりたつ|to go down and stand
下り立つ|おりたつ|to alight; to get down
降り立つ|おりたつ|to go down and stand
降り立つ|おりたつ|to alight; to get down
おり立つ|おりたつ|to go down and stand
おり立つ|おりたつ|to alight; to get down
下立つ|おりたつ|to go down and stand
下立つ|おりたつ|to alight; to get down
降立つ|おりたつ|to go down and stand
降立つ|おりたつ|to alight; to get down
下り列車|くだりれっしゃ|trains going away from the capital; down train
下る|くだる|to descend; to go down; to come down
下る|くだる|to be handed down (of an order, judgment, etc.)
下る|くだる|to pass (of time)
下る|くだる|to surrender; to capitulate
下る|くだる|to be less than; to be inferior to
下る|くだる|to have the runs; to have diarrhea
下る|くだる|to pass (in stool); to be discharged from the body
下る|くだる|to depreciate oneself; to be humble
降る|くだる|to descend; to go down; to come down
降る|くだる|to be handed down (of an order, judgment, etc.)
降る|くだる|to pass (of time)
降る|くだる|to surrender; to capitulate
降る|くだる|to be less than; to be inferior to
降る|くだる|to have the runs; to have diarrhea
降る|くだる|to pass (in stool); to be discharged from the body
降る|くだる|to depreciate oneself; to be humble
下ろし|おろし|dropping; unloading; removing
下ろし|おろし|grated vegetables, fruit, etc.
下ろし|おろし|grater
下ろし|おろし|using new tools (or clothes, etc.); new tools (or clothes, etc.)
降ろし|おろし|dropping; unloading; removing
降ろし|おろし|grated vegetables, fruit, etc.
降ろし|おろし|grater
降ろし|おろし|using new tools (or clothes, etc.); new tools (or clothes, etc.)
卸し|おろし|dropping; unloading; removing
卸し|おろし|grated vegetables, fruit, etc.
卸し|おろし|grater
卸し|おろし|using new tools (or clothes, etc.); new tools (or clothes, etc.)
卸|おろし|dropping; unloading; removing
卸|おろし|grated vegetables, fruit, etc.
卸|おろし|grater
卸|おろし|using new tools (or clothes, etc.); new tools (or clothes, etc.)
下ろし薬|おろしぐすり|an abortive
下位|かい|low rank; subordinate; lower order (e.g. byte); low-end
下位互換性|かいごかんせい|downward compatibility; forward compatibility
下意|かい|the feelings of the people
下院|かいん|lower house; lower (legislative) body
下院議|かいんぎ|lower house (of Parliament, etc.)
下院議員|かいんぎいん|member of the lower house
下院議長|かいんぎちょう|Speaker of the House (US, etc.)
下押す|したおす|to decline (stock market)
下屋敷|しもやしき|villa; daimyo's suburban residence
下家|したや|small attached annex; lean-to
下家|げや|small attached annex; lean-to
下家|しもや|small attached annex; lean-to
下屋|したや|small attached annex; lean-to
下屋|げや|small attached annex; lean-to
下屋|しもや|small attached annex; lean-to
下火|したび|burning low; waning; declining
下火になる|したびになる|to be under control; to burn down; to decline; to drop; to wane
下回り|したまわり|subordinate part; menial service; subordinate; utility man
下廻り|したまわり|subordinate part; menial service; subordinate; utility man
下回る|したまわる|to fall below (esp. figures: profits, unemployment rate, etc.); to be less than; to be lower than; to fall just short of; to be just under
下界|げかい|the world; the earth
下界|げかい|this world (as opposed to heaven)
下絵|したえ|rough sketch; cartoon; design
下顎|かがく|lower jaw
下顎|したあご|lower jaw
下掛かる|しもがかる|to talk about indecent things
下掛る|しもがかる|to talk about indecent things
下がかる|しもがかる|to talk about indecent things
下刈り|したがり|weeding
下巻|げかん|last volume (in set)
下期|しもき|second half of the (fiscal) year
下記|かき|the following
下脚|かきゃく|legs; lower limbs
下級|かきゅう|lower grade; low class; junior (officer)
下級職|かきゅうしょく|subordinate post
下級審|かきゅうしん|lower court
下級生|かきゅうせい|student in a lower grade; underclassman
下協議|したきょうぎ|preliminary conference
下金|したがね|basic metal (in an art object); old metal
下句|げく|the last part of a poem or Bible verse
下稽古|したげいこ|rehearsal; preparation
下穴|したあな|pilot hole; rough hole; prepared hole
下血|げけつ|bloody bowel discharge
下検査|したけんさ|preliminary inspection
下検分|したけんぶん|preliminary examination
下見|したみ|preliminary inspection; having a look in advance
下見|したみ|preparatory read-through (e.g. of lesson notes)
下見|したみ|siding (on a house); clapboard; weatherboard
下見板|したみいた|siding (on a house); clapboard; weatherboard
下弦|かげん|(moon's) last quarter
下弦の月|かげんのつき|waning moon
下限|かげん|lower limit
下限|かげん|infimum
下戸|げこ|someone who can't drink; non-drinker; temperate man
下御|げぎょ|dismounting
下向|げこう|leaving the capital
下向き|したむき|pointing down; pointing downward
下向き|したむき|(market) decline; downturn; downward trend
下校|げこう|coming home from school
下行|かこう|descending
下降|かこう|descent; fall; drop; decline; downturn; subsidence
下降線|かこうせん|downward curve
下国|げこく|leaving for the provinces
下獄|げごく|being sent to prison
下座|げざ|coming down from one's seat and prostrating oneself (to pay obeisance)
下座|げざ|musicians' box on the left side of the stage
下座|げざ|lower seat
下座|しもざ|lower seat; seat at bottom of the table
下剤|げざい|laxative
下坂|しもさか|downhill; decline; waning
下阪|げはん|proceeding from Tokyo to Osaka
下策|げさく|poor plan
下山|げざん|descending (mountain)
下山|げさん|descending (mountain)
下仕事|したしごと|spade work; subcontract
下種張る|げすばる|to be churlish; to be crude; to be boorish; to be vulgar; to conduct oneself in an unseemly manner
下衆張る|げすばる|to be churlish; to be crude; to be boorish; to be vulgar; to conduct oneself in an unseemly manner
下種ばる|げすばる|to be churlish; to be crude; to be boorish; to be vulgar; to conduct oneself in an unseemly manner
下司ばる|げすばる|to be churlish; to be crude; to be boorish; to be vulgar; to conduct oneself in an unseemly manner
下四半期|しもしはんき|last quarter (of the year)
下士|かし|noncommissioned officer
下士官|かしかん|non-commissioned officer
下士官兵|かしかんへい|enlisted man
下糸入れ|したいといれ|shuttle
下肢|かし|the legs; lower extremities
下賜|かし|grant; bestowal; giving something to someone of low social standing (by a person of very high social standing)
下歯|したば|lower teeth
下車|げしゃ|alighting (from train, bus, etc.); getting off
下取り|したどり|trade in; part exchange
下手|したて|humble position; inferior
下手|したて|underarm grip on opponent's belt
下手|したで|humble position; inferior
下手|したで|underarm grip on opponent's belt
下手|しもて|lower part; foot; lower direction
下手|しもて|left part of the stage (audience's or camera's POV); stage right (actor's POV)
下手|へた|unskillful; poor; awkward
下手|へた|imprudent; untactful
下手の横好き|へたのよこずき|being crazy about something but being very bad at it
へたの横好き|へたのよこずき|being crazy about something but being very bad at it
下手人|げしゅにん|offender; criminal
下手投げ|したてなげ|underhand throw
下手投げ|したてなげ|underarm throw
下手物|げてもの|low-quality products; strange thing; strange combination
ゲテモノ||low-quality products; strange thing; strange combination
下手くそ|へたくそ|shitty; clumsy; poor; awkward
下手糞|へたくそ|shitty; clumsy; poor; awkward
ヘタクソ||shitty; clumsy; poor; awkward
下種根性|げすこんじょう|mean feelings
下種女|げすおんな|woman of low rank; term of degradation for a woman
下渋り|したしぶり|(stock market) steadiness
下宿|げしゅく|boarding; lodging; boarding house
下宿屋|げしゅくや|lodging house
下宿人|げしゅくにん|lodger; roomer
下宿料|げしゅくりょう|board-and-room charge
下旬|げじゅん|last third of a month; 21st to the last day of a month
下準備|したじゅんび|preliminary arrangements; spade work
下緒|さげお|cord for attaching a sword scabbard tightly to the obi; sword strap; sword knot
下げ緒|さげお|cord for attaching a sword scabbard tightly to the obi; sword strap; sword knot
下書|げしょ|rough copy; draft; draught
下書き|したがき|rough copy; draft; draught
下女|げじょ|maid servant
下女下男|げじょげなん|servants
下女中|しもじょちゅう|kitchen maid
下乗|げじょう|dismounting
下城|げじょう|withdrawing from the castle
下情|かじょう|condition of the common people
下職|したしょく|subcontractor
下心|したごころ|secret intention; ulterior motive
下心|したごころ|kanji "heart" radical at bottom
下臣|かしん|low-rank retainer
下人|げにん|low-rank person; menial
下図|かず|the lower illustration
下図|したず|rough sketch
下垂|かすい|drooping; hanging down
下水|げすい|drainage; ditch; gutter; sewerage
下水|げすい|sewage; black water
下水管|げすいかん|sewer pipe
下水溝|げすいこう|drainage ditch; canal
下水道|げすいどう|drain; sewer; drainage system
下水板|げすいいた|wooden sewer covers
下世話|げせわ|common saying; everyday talk; common parlance
下姓|げしょう|person of humble birth
下生え|したばえ|underbrush; undergrowth
下請け業者|したうけぎょうしゃ|subcontractor
下請け会社|したうけがいしゃ|subcontractor; subcontracting company
下請会社|したうけがいしゃ|subcontractor; subcontracting company
下請負|したうけおい|subcontract
下石|したいし|nether millstone
下積み|したづみ|goods piled beneath; lower layer
下積み|したづみ|lowest social strata; bottom (of the ladder); low rank; obscurity
下線|かせん|underline; underscore
下線部|かせんぶ|underlined part
下船|げせん|disembarkation; getting off a ship; going ashore
下僧|げそう|low-rank priest
下層|かそう|lower strata (classes)
下層階級|かそうかいきゅう|proletariat; lower classes
下層社会|かそうしゃかい|the underworld; lower ranks of society
下層土|かそうど|subsoil
下相談|したそうだん|preliminary consultation; arrangements
下草|したくさ|undergrowth; weeds beneath a tree
下草|したぐさ|undergrowth; weeds beneath a tree
下側|したがわ|underside
下足|げそく|footwear (esp. outdoor shoes, as opposed to slippers, etc.); footgear
下足番|げそくばん|doorman in charge of footwear
下足料|げそくりょう|footwear-checking charge
下駄|げた|geta; Japanese wooden clogs
下駄|げた|turn (in set-type proofing); upside-down character
下駄を預ける|げたをあずける|to leave everything to (someone)
下駄屋|げたや|clog shop
下駄掛け|げたがけ|wearing wooden clogs
下駄直し|げたなおし|repairing clogs; clog repairer
下駄箱|げたばこ|shoe rack (in genkan); cupboard (for shoes and clogs)
げた箱|げたばこ|shoe rack (in genkan); cupboard (for shoes and clogs)
下駄番|げたばん|toe guards on clogs; footwear doorman
下駄履き|げたばき|wearing wooden clogs
下駄履き|げたばき|floatplane
下帯|したおび|loincloth; waist cloth
下台所|しもだいどころ|servants' kitchen
下達|かたつ|commanding a subordinate
下達|げたつ|commanding a subordinate
