尾根|おね|(mountain) ridge; spur
琵琶|びわ|biwa (Japanese lute)
琵琶行|びわこう|biwa song
眉|まゆ|eyebrow; eyebrows
眉|まみえ|eyebrow; eyebrows
眉宇|びう|brow; brows
眉間|みけん|brow; glabella; middle forehead; area between the eyebrows
眉尻|まゆじり|end of an eyebrow
眉雪|びせつ|snow-white eyebrows
眉唾物|まゆつばもの|fake; counterfeit
眉唾もの|まゆつばもの|fake; counterfeit
眉つばもの|まゆつばもの|fake; counterfeit
眉毛|まゆげ|eyebrows
眉目|びもく|face; looks; features
美|び|beauty
美しい|うつくしい|beautiful; lovely
美化|びか|beautification; glorification
美学|びがく|esthetics; aesthetics
美観|びかん|fine view; beautiful sight
美空|みそら|beautiful sky
美港|びこう|beautiful port
美辞麗句|びじれいく|flowery words; rhetorical flourishes
美醜|びしゅう|beauty or ugliness
美醜|びしゅう|personal appearance; looks
美術|びじゅつ|art; fine arts
美術学校|びじゅつがっこう|art school
美術館|びじゅつかん|art gallery; art museum
美術大学|びじゅつだいがく|college of the arts; university of the arts; art university
美術品|びじゅつひん|work of art
美女|びじょ|beautiful woman
美少女|びしょうじょ|beautiful girl
美少年|びしょうねん|handsome youth (male); pretty boy
美粧院|びしょういん|beauty shop
美人|びじん|beautiful woman
美人局|つつもたせ|scheme in which a man and woman trick another man into a compromising situation for blackmail; badger game
美大|びだい|college of the arts; university of the arts; art university
美男|びなん|handsome man
美的|びてき|esthetic; aesthetic
美的嫌悪|びてきけんお|aesthetic aversion
美点|びてん|virtue; charm; merit; good point
美徳|びとく|virtue
美姫|びき|beautiful maiden; beauty
美風|びふう|beautiful custom; fine custom; good custom
美貌|びぼう|beautiful face; good looks; beauty
美味|びみ|good flavor; good flavour; delicacy
美味しい|おいしい|delicious; tasty; sweet
美味しい|おいしい|attractive; appealing; convenient; favorable; desirable
オイシイ||delicious; tasty; sweet
オイシイ||attractive; appealing; convenient; favorable; desirable
美名|びめい|good name; high reputation
美容|びよう|beauty of figure or form
美容院|びよういん|beauty parlour; beauty parlor; beauty salon; hairdressing salon
美容師|びようし|beautician; hairdresser
美容整形|びようせいけい|cosmetic surgery
美容体操|びようたいそう|calisthenics
鼻|はな|nose
鼻が高い|はながたかい|proud
鼻が高い|はながたかい|having a prominent nose
鼻がたかい|はながたかい|proud
鼻がたかい|はながたかい|having a prominent nose
鼻っ柱|はなっぱしら|aggressiveness; competitive spirit; fighting spirit
鼻っぱしら|はなっぱしら|aggressiveness; competitive spirit; fighting spirit
鼻っ張り|はなっぱり|aggressiveness; competitive spirit; fighting spirit
鼻っぱり|はなっぱり|aggressiveness; competitive spirit; fighting spirit
鼻を高くする|はなをたかくする|to be proud
鼻を折る|はなをおる|to humble someone
鼻を突き合わす|はなをつきあわす|to be closely crowded together
鼻を明かす|はなをあかす|to outwit; to get the better of; to overcome a superior opponent and leave him speechless
鼻をあかす|はなをあかす|to outwit; to get the better of; to overcome a superior opponent and leave him speechless
鼻炎|びえん|rhinitis; coryza; nasal inflammation
鼻音|びおん|nasal voice
鼻音|びおん|nasal stop; nasal occlusive; nasal
鼻下|びか|upper-lip
鼻下|びか|subnasal
鼻下長|びかちょう|amorous man; henpecked husband
鼻歌|はなうた|humming; crooning
鼻唄|はなうた|humming; crooning
鼻歌まじり|はなうたまじり|humming a tune; humming unconcernedly
鼻歌交じり|はなうたまじり|humming a tune; humming unconcernedly
鼻歌混じり|はなうたまじり|humming a tune; humming unconcernedly
鼻歌交り|はなうたまじり|humming a tune; humming unconcernedly
鼻革|はながわ|toe cover for clogs
鼻汗|はなあせ|nose sweat
鼻眼鏡|はなめがね|pince-nez glasses; pince-nez; nose glasses
鼻眼鏡|はなめがね|Groucho glasses
鼻メガネ|はなメガネ|pince-nez glasses; pince-nez; nose glasses
鼻メガネ|はなメガネ|Groucho glasses
鼻めがね|はなめがね|pince-nez glasses; pince-nez; nose glasses
鼻めがね|はなめがね|Groucho glasses
ハナメガネ||pince-nez glasses; pince-nez; nose glasses
ハナメガネ||Groucho glasses
鼻づまり|はなづまり|nasal congestion; nose being clogged up
鼻詰まり|はなづまり|nasal congestion; nose being clogged up
鼻詰り|はなづまり|nasal congestion; nose being clogged up
鼻筋|はなすじ|bridge of nose
鼻すじ|はなすじ|bridge of nose
鼻呼吸|びこきゅう|nasal respiration
鼻口|びこう|nose and mouth; muzzle (e.g. of a dog)
鼻口|びこう|nostril; nostrils; naris; nares
鼻向け|はなむけ|smelling (something); turning one's nose towards a smell
鼻孔|びこう|nostril; nostrils; naris; nares
鼻綱|はなづな|halter
鼻高|はなたか|high nose; person with a high nose; pride
鼻骨|びこつ|nasal bone
鼻根|びこん|root of the nose
鼻根|びこん|nose; sense of smell
鼻持ちならぬ|はなもちならぬ|intolerable; disgusting
鼻疾|びしつ|diseases of the nose
鼻出血|びしゅっけつ|nosebleed
鼻緒|はなお|sandal strap; geta strap
花緒|はなお|sandal strap; geta strap
鼻拭き|はなふき|handkerchief
鼻水|はなみず|nasal mucus; dripping nose; snot
はな水|はなみず|nasal mucus; dripping nose; snot
洟水|はなみず|nasal mucus; dripping nose; snot
鼻先|はなさき|tip of nose
鼻先|はなさき|before one's eyes; under one's nose; in front of
鼻先|はなさき|tip (of something)
端先|はなさき|tip (of something)
鼻祖|びそ|founder; originator; introducer
鼻息が荒い|はないきがあらい|imperious; proud
鼻濁音|びだくおん|nasal sound
鼻端|びたん|nose tip
鼻柱|はなばしら|septum; bridge of nose
鼻潰れ|はなつぶれ|flat nose; flat-nose person
鼻つまみ|はなつまみ|uncouth person; disgusting fellow; nuisance; outcast; bore
鼻摘み|はなつまみ|uncouth person; disgusting fellow; nuisance; outcast; bore
鼻摘まみ|はなつまみ|uncouth person; disgusting fellow; nuisance; outcast; bore
鼻突き合い|はなつきあい|quarreling; quarrelling
鼻内|びない|in the nose
鼻白む|はなしらむ|to look daunted
鼻髭|はなひげ|moustache; mustache
鼻ひげ|はなひげ|moustache; mustache
鼻面|はなづら|muzzle; snout
鼻づら|はなづら|muzzle; snout
鼻毛|はなげ|nostril hairs
鼻毛|はなげ|being infatuated with women
鼻毛|はなげ|fool
鼻木|はなぎ|nose ring (for cattle)
鼻薬|はなぐすり|nose medicine (e.g. nasal spray)
鼻薬|はなぐすり|bribe; hush money
鼻薬|はなぐすり|soothing sweets (for a child)
鼻梁|びりょう|bridge of the nose
鼻輪|はなわ|nose ring
匹敵|ひってき|to be a match for; to rival; to equal; to compare with; to be equivalent to
匹夫|ひっぷ|(humble) man; coarse man; rustic
匹夫の勇|ひっぷのゆう|rash courage
匹夫匹婦|ひっぷひっぷ|coarse men and women
匹婦|ひっぷ|coarse woman; country woman
匹儔|ひっちゅう|equal; match
髭剃り|ひげそり|shaving; shaver
ひげ剃り|ひげそり|shaving; shaver
髭そり|ひげそり|shaving; shaver
膝|ひざ|knee
膝|ひざ|lap; knee and thigh (while sitting)
ヒザ||knee
ヒザ||lap; knee and thigh (while sitting)
膝蓋骨|しつがいこつ|kneecap; patella
膝蓋腱反射|しつがいけんはんしゃ|kneecap (patellar) reflex
膝関節|しつかんせつ|knee joint
膝頭|ひざがしら|kneecap
膝がしら|ひざがしら|kneecap
菱形|ひしがた|rhombus; rhomb; diamond shape
菱形|りょうけい|rhombus; rhomb; diamond shape
肘|ひじ|elbow
肱|ひじ|elbow
臂|ひじ|elbow
ヒジ||elbow
肘鉄|ひじてつ|elbowing (someone)
肘鉄|ひじてつ|rejection; rebuff
必ず|かならず|always; without exception; necessarily; certainly; without fail; positively; invariably
必ずしも|かならずしも|not always; not necessarily; not all; not entirely
必ずや|かならずや|certainly; surely; definitely
必携|ひっけい|handbook; manual; vade mecum
必携|ひっけい|essential item; must-have
必見|ひっけん|must-see; not to be missed; a must
必殺|ひっさつ|bringing certain death; deadly; knockout (blow)
必治|ひっち|certain cure
必治薬|ひっちやく|necessity guaranteed to cure
必需|ひつじゅ|necessary
必需品|ひつじゅひん|necessities; necessary article; requisite; essentials
必修|ひっしゅう|required (subject)
必修科目|ひっしゅうかもく|compulsory subject
必勝|ひっしょう|certain victory
必捷|ひっしょう|certain victory
必須|ひっす|indispensable; required
必須|ひっしゅ|indispensable; required
必須|ひっすう|indispensable; required
必須科目|ひっすかもく|required subject; compulsory course
必衰|ひっすい|bound to decline, decay, or collapse
必然|ひつぜん|inevitable; necessary; certain; sure
必然|ひつぜん|inevitability; necessity
必然性|ひつぜんせい|necessity; inevitability
必然的|ひつぜんてき|inevitable; necessary
必着|ひっちゃく|must arrive; must be received
必中|ひっちゅう|hitting the target
必定|ひつじょう|inevitably; certainly
必読|ひつどく|must-read; obligatory reading
必罰|ひつばつ|inevitability of punishment
必要|ひつよう|necessary; needed; essential; indispensable
必要|ひつよう|necessity; need; requirement
必用|ひつよう|necessary; needed; essential; indispensable
必用|ひつよう|necessity; need; requirement
必要なし|ひつようなし|not required
必要ならば|ひつようならば|if necessary
必要に応じて|ひつようにおうじて|as necessary
必要は発明の母|ひつようははつめいのはは|necessity is the mother of invention
必要事|ひつようじ|necessities
必要条件|ひつようじょうけん|necessary condition; requirement
必要性|ひつようせい|necessity
必要品|ひつようひん|necessities
必要物|ひつようぶつ|necessities
畢竟|ひっきょう|after all
必竟|ひっきょう|after all
筆|ふで|writing brush
筆を揮う|ふでをふるう|to drive a quill (pen); to wield the writing brush
筆ペン|ふでペン|calligraphy pen
筆記|ひっき|(taking) notes; copying
筆記試験|ひっきしけん|written examination
筆写略字|ひっしゃりゃくじ|handwritten abbreviation (of kanji)
筆者|ひっしゃ|writer (often in self-reference); author
筆順|ひつじゅん|stroke order
筆跡|ひっせき|handwriting
筆跡|ひっせき|calligraphy specimen; example of penmanship; holograph
筆跡|ふであと|handwriting
筆跡|ふであと|calligraphy specimen; example of penmanship; holograph
筆蹟|ひっせき|handwriting
筆蹟|ひっせき|calligraphy specimen; example of penmanship; holograph
筆迹|ひっせき|handwriting
筆迹|ひっせき|calligraphy specimen; example of penmanship; holograph
筆先|ふでさき|tip of brush
筆頭|ひっとう|brush tip
筆頭|ひっとう|first on a list
筆頭|ひっとう|head; chief
筆頭|ふでがしら|brush tip
筆頭|ふでがしら|first on a list
筆頭|ふでがしら|head; chief
筆箱|ふでばこ|pencil case; pencil box; writing brush case
筆不精|ふでぶしょう|poor correspondent; apparent disdain of (or trouble with) writing; someone who appears to dislike (or be poor at) writing
筆無精|ふでぶしょう|poor correspondent; apparent disdain of (or trouble with) writing; someone who appears to dislike (or be poor at) writing
筆法|ひっぽう|style of penmanship
筆墨|ひつぼく|stationery; pen and ink; writing materials
筆名|ひつめい|alias; pseudonym; pen name; nom de plume
逼迫|ひっぱく|stringency (financial); (monetary) tightness
逼迫|ひっぱく|impending (dangers); pressing (crisis)
ひっ迫|ひっぱく|stringency (financial); (monetary) tightness
ひっ迫|ひっぱく|impending (dangers); pressing (crisis)
姫君|ひめぎみ|daughter of a person of high rank (i.e. a king, noble, aristocrat, etc.)
姫様|ひめさま|princess; daughter of a nobleman
姫さま|ひめさま|princess; daughter of a nobleman
紐|ひも|string; cord
紐|ひも|man who is financially dependent on a woman (such as a gigolo or, in the case of a prostitute, a pimp); pimp
紐帯|ちゅうたい|important connection; important social foundation; close relation; tight relationship; intimate relation; close link
ひも付き|ひもつき|conditions; strings attached; restriction; restrictions; controls
ひも付き|ひもつき|something that has a cord or string attached (e.g. clothes)
ひも付き|ひもつき|having a lover; lover
ひも付き|ひもつき|criminal; someone bound by ropes
紐付き|ひもつき|conditions; strings attached; restriction; restrictions; controls
紐付き|ひもつき|something that has a cord or string attached (e.g. clothes)
紐付き|ひもつき|having a lover; lover
紐付き|ひもつき|criminal; someone bound by ropes
百|ひゃく|100; hundred
百|もも|100; hundred
陌|ひゃく|100; hundred
陌|はく|100; hundred
佰|ひゃく|100; hundred
佰|はく|100; hundred
百億|ひゃくおく|10,000,000,000; ten billion (American); (obs) ten milliard (British)
百家争鳴|ひゃっかそうめい|Let a hundred schools of thought contend
百科|ひゃっか|many objects (for study)
百科|ひゃっか|encyclopedia; encyclopaedia
百科全書|ひゃっかぜんしょ|encyclopedia
百科全書|ひゃっかぜんしょ|Diderot's "Encyclopedie universelle des arts et sciences"
百花|ひゃっか|all varieties of flowers; many flowers
百花斉放|ひゃっかせいほう|"Let a hundred flowers blossom"; "Hundred Flowers" campaign
百花繚乱|ひゃっかりょうらん|many flowers blooming in profusion; a gathering of many beautiful women (talented people); simultaneous emergence of many talents and achievements
百花撩乱|ひゃっかりょうらん|many flowers blooming in profusion; a gathering of many beautiful women (talented people); simultaneous emergence of many talents and achievements
百貨|ひゃっか|all kinds of goods
百貨店|ひゃっかてん|(department) store; (department) stores
百害|ひゃくがい|great damage
百官|ひゃっかん|all the officials
百景|ひゃっけい|100 famous views
百計|ひゃっけい|all means
百芸|ひゃくげい|Jack of all trades
百行|ひゃっこう|all acts
百合|ゆり|lily (Lilium spp.)
百合|ゆり|comics and novels about female homosexuality
百合|ゆる|lily (Lilium spp.)
ユリ||lily (Lilium spp.)
ユリ||comics and novels about female homosexuality
百合根|ゆりね|lily bulb
ユリ根|ユリね|lily bulb
百済|くだら|ancient Korean kingdom (Paekche or Kudara)
百事|ひゃくじ|all; everything
百獣|ひゃくじゅう|all kinds of animals
百出|ひゃくしゅつ|arise in great numbers
百色眼鏡|ひゃくいろめがね|kaleidoscope
百人一首|ひゃくにんいっしゅ|100 poems by 100 famous poets; (playing) cards of one hundred famous poems
百世|ひゃくせい|long era; ages; eternity
百世|ももよ|long era; ages; eternity
百代|ひゃくだい|long era; ages; eternity
百代|はくたい|long era; ages; eternity
百代|ももよ|long era; ages; eternity
百姓|ひゃくしょう|farmer; peasant; country bumpkin
百姓|ひゃくしょう|farming
百姓|ひゃくしょう|the common people
百姓|ひゃくせい|the common people
百姓一揆|ひゃくしょういっき|peasant's revolt
百姓家|ひゃくしょうや|farmer's home
百舌|もず|shrike (any bird of family Laniidae)
百舌|もず|bull-headed shrike (Lanius bucephalus); butcher bird
百舌鳥|もず|shrike (any bird of family Laniidae)
百舌鳥|もず|bull-headed shrike (Lanius bucephalus); butcher bird
鵙|もず|shrike (any bird of family Laniidae)
鵙|もず|bull-headed shrike (Lanius bucephalus); butcher bird
モズ||shrike (any bird of family Laniidae)
モズ||bull-headed shrike (Lanius bucephalus); butcher bird
百戦百勝|ひゃくせんひゃくしょう|ever-victorious; many successful campaigns; invincibility
百足|むかで|centipede
百足|ひゃくそく|centipede
蜈蚣|むかで|centipede
ムカデ||centipede
百卒長|ひゃくそつちょう|centurion
百態|ひゃくたい|various phases
百点|ひゃくてん|hundred points; perfect mark
百難|ひゃくなん|all obstacles; all sorts of trouble
百日咳|ひゃくにちぜき|whooping cough; pertussis
百日咳|ひゃくにちせき|whooping cough; pertussis
百日ぜき|ひゃくにちぜき|whooping cough; pertussis
百日せき|ひゃくにちせき|whooping cough; pertussis
百日紅|さるすべり|crape myrtle (Lagerstroemia indica)
百日紅|ひゃくじつこう|crape myrtle (Lagerstroemia indica)
猿滑|さるすべり|crape myrtle (Lagerstroemia indica)
猿滑|しび|crape myrtle (Lagerstroemia indica)
猿滑り|さるすべり|crape myrtle (Lagerstroemia indica)
サルスベリ||crape myrtle (Lagerstroemia indica)
百日草|ひゃくにちそう|zinnia
百年祭|ひゃくねんさい|centenary; centennial celebration
百倍|ひゃくばい|hundredfold
百八の鐘|ひゃくはちのかね|night-watch bell; bells tolling out the old year
百発百中|ひゃっぱつひゃくちゅう|always hitting the bull's-eye; infallible
百般|ひゃっぱん|all; every; all kinds of
百分比|ひゃくぶんひ|percentage
百分率|ひゃくぶんりつ|percentage
百聞|ひゃくぶん|hearing a hundred times
百弊|ひゃくへい|all evils
百歩譲る|ひゃっぽゆずる|to be unwilling but to give in
百方|ひゃっぽう|in every way
百万|ひゃくまん|1,000,000; one million; million
百万|ひゃくまん|many
百万長者|ひゃくまんちょうじゃ|millionaire; multimillionaire
百万遍|ひゃくまんべん|million times; praying a million times
百味|ひゃくみ|all kinds (of food)
百面相|ひゃくめんそう|making different (comic) faces, esp. using small props
百匁|ひゃくもんめ|375 grams (100 monme)
百匁|ひゃくめ|375 grams (100 monme)
百目|ひゃくめ|375 grams (100 monme)
百薬|ひゃくやく|sundry remedies
百薬の長|ひゃくやくのちょう|best medicine; chief of all medicines
百薬の長|ひゃくやくのちょう|sake
百葉箱|ひゃくようばこ|Stevenson screen (louvre-sided box housing for meteorological gauges)
百雷|ひゃくらい|hundred thunderclaps
百錬|ひゃくれん|well-tempered; well drilled; well trained
謬見|びゅうけん|fallacy
謬説|びゅうせつ|fallacy; fallacious argument
謬論|びゅうろん|fallacy; mistaken opinion
俵数|ひょうすう|number of straw bags
俵物|たわらもの|goods in straw bags
俵物|ひょうもつ|goods in straw bags
標記|ひょうき|subject (of memo, email, etc.); title
標語|ひょうご|motto; slogan; catchword
標高|ひょうこう|elevation; height above sea level
標識|ひょうしき|sign; mark; flag
標準|ひょうじゅん|standard; level; norm
標準化|ひょうじゅんか|standardization; standardisation
標準語|ひょうじゅんご|standard language (of a country); standard Japanese
標準誤差|ひょうじゅんごさ|standard error; SE
標準時|ひょうじゅんじ|standard time
標準出力|ひょうじゅんしゅつりょく|stdout (computer); standard output file
標準入力|ひょうじゅんにゅうりょく|stdin (computer); standard input file
標準偏差|ひょうじゅんへんさ|standard deviation; SD
標定|ひょうてい|standardization; standardisation; orientation
標的|ひょうてき|target
標本|ひょうほん|example; specimen; sample
標榜|ひょうぼう|standing for; advocating; championing; professing (to be)
氷|こおり|ice
氷|こおり|shaved ice (usually served with flavored simple syrup)
凍り|こおり|ice
凍り|こおり|shaved ice (usually served with flavored simple syrup)
氷|ひ|ice
氷|ひ|hail
冰|ひ|ice
冰|ひ|hail
氷雨|ひさめ|hail; chilly chilly rain
氷屋|こおりや|ice man; ice shop
氷河|ひょうが|glacier
氷河期|ひょうがき|glacial period; glacial epoch; glacial era; ice age
氷河時代|ひょうがじだい|ice age; glacial period
氷菓|ひょうか|ice cream; flavoured ice; sherbet
氷菓子|こおりがし|frozen dessert
氷解|ひょうかい|being cleared (doubt, misgivings, etc.); melting away
氷塊|ひょうかい|lump of ice; block of ice; ice floe
氷海|ひょうかい|frozen sea; icy waters
氷滑り|こおりすべり|ice skating
氷期|ひょうき|glacial period; ice age
氷詰め|こおりづめ|packing in ice
氷挟み|こおりばさみ|ice tongs
氷結|ひょうけつ|freezing; congelation; freeze
氷原|ひょうげん|ice field; ice floe
氷砂糖|こおりざとう|rock candy; sugar candy
氷山|ひょうざん|iceberg
氷釈|ひょうしゃく|melting like ice; dispelling doubts
氷床|ひょうしょう|ice sheet
氷晶|ひょうしょう|ice crystals
氷食|ひょうしょく|glacial scouring; glacial erosion; glacial abrasion
氷蝕|ひょうしょく|glacial scouring; glacial erosion; glacial abrasion
氷震|ひょうしん|ice quake
氷人|ひょうじん|go-between (in marriage)
氷刃|ひょうじん|sharp, glistening sword
氷雪|ひょうせつ|ice and snow
氷像|ひょうぞう|ice sculpture
氷袋|こおりぶくろ|ice bag
氷炭|ひょうたん|ice and charcoal; contradiction
氷漬け|こおりづけ|being frozen in ice
氷点|ひょうてん|freezing point
氷点下|ひょうてんか|below freezing
氷田|ひょうでん|field of eternal snow
氷嚢|ひょうのう|ice bag; ice pack
氷のう|ひょうのう|ice bag; ice pack
氷枕|こおりまくら|ice pillow
氷霧|ひょうむ|ice fog
氷面|ひょうめん|ice surface
氷輪|ひょうりん|the moon
漂う|ただよう|to drift; to float
漂う|ただよう|to waft (e.g. a scent); to hang in the air
漂う|ただよう|to be in the air (e.g. a feeling or mood)
漂う|ただよう|to wander; to walk around aimlessly
漂う|ただよう|to be unsteady; to be unstable
漂う|ただよう|to falter; to flinch; to wince
漂う|ただよう|to live in unreliable circumstances
漂然|ひょうぜん|casually; aimlessly; abruptly; unexpectedly
飄然|ひょうぜん|casually; aimlessly; abruptly; unexpectedly
漂着|ひょうちゃく|drifting ashore
漂泊者|ひょうはくしゃ|vagabond
漂白|ひょうはく|blanching; bleaching
漂白剤|ひょうはくざい|bleaching agent; bleach
漂流|ひょうりゅう|drifting; drift; being adrift
漂流木|ひょうりゅうぼく|driftwood
票|ひょう|vote; ballot
票|ひょう|label; ticket; tag; stub
票決|ひょうけつ|vote; ballot
表|おもて|surface
表|おもて|face (i.e. the visible side of an object)
表|おもて|front (of a building, etc.); obverse side (i.e. "head") of a coin
表|おもて|outside; exterior
表|おもて|appearance
表|おもて|public
表|おもて|first half (of an inning); top (of an inning)
表|おもて|cover (for tatami mats, etc.)
表|おもて|foreground
表|ひょう|table (e.g. Table 1); chart; list
表する|ひょうする|to express; to show
表意|ひょうい|expressing one's intent; gesture
表意|ひょうい|ideography
表音字母|ひょうおんじぼ|phonetic alphabet
表解|ひょうかい|illustration by tables
表看板|おもてかんばん|sign out in front; front (for someone)
表記|ひょうき|writing on the surface (e.g. an address on an envelope); inscribing on the face
表記|ひょうき|expression in writing; notation; surface form; transcription
表記法|ひょうきほう|representation; notation
表具|ひょうぐ|mounting (a picture)
表具屋|ひょうぐや|paperer; picture framer
表具師|ひょうぐし|paperer; picture framer
表芸|おもてげい|main accomplishments
表決|ひょうけつ|vote; voting
表決権|ひょうけつけん|voting rights
表玄関|おもてげんかん|front door; vestibule
表現|ひょうげん|expression; presentation
表現|ひょうげん|representation; notation
表現形式|ひょうげんけいしき|form of expression; form of presentation
表口|おもてぐち|front door
表向き|おもてむき|outward appearance; ostensible; public; official
表構え|おもてがまえ|the front of a building; facade
表号|ひょうごう|symbol; emblem; sign
表沙汰|おもてざた|going public (with a matter); becoming public knowledge
表沙汰|おもてざた|recourse to litigation; taking (a matter) to court
表ざた|おもてざた|going public (with a matter); becoming public knowledge
表ざた|おもてざた|recourse to litigation; taking (a matter) to court
表座敷|おもてざしき|front room; parlor; parlour; living room
表在|ひょうざい|superficial
表紙|ひょうし|front cover; binding; (book) cover
表紙|ひょうし|appearing on the cover of a magazine
表示|ひょうじ|indication; expression; showing; manifestation; demonstration
表示|ひょうじ|display; displaying
表示|ひょうじ|representation
標示|ひょうじ|indication; expression; showing; manifestation; demonstration
標示|ひょうじ|display; displaying
標示|ひょうじ|representation
表示書|ひょうじしょ|written statement
表示灯|ひょうじとう|signal light
表示板|ひょうじばん|indicator; noticeboard
表示物|ひょうじぶつ|something indicative of
表出|ひょうしゅつ|expression; presentation
表彰|ひょうしょう|public acknowledgment; public acknowledgement; public recognition; commendation; awarding
表彰状|ひょうしょうじょう|testimonial; certificate of commendation
表象|ひょうしょう|symbol; emblem
表象|ひょうしょう|mental image; representation; idea
表情|ひょうじょう|facial expression; countenance
表情|ひょうじょう|look; appearance; expression (vocal, etc.)
表層|ひょうそう|surface; outer layer
表層性|ひょうそうせい|superficial
表装|ひょうそう|mounting (of a picture); binding (of a book)
表側|おもてがわ|the front
表替え|おもてがえ|refacing (tatami) mats
表替|おもてがえ|refacing (tatami) mats
表題|ひょうだい|title; index; heading; headline; caption
標題|ひょうだい|title; index; heading; headline; caption
表忠塔|ひょうちゅうとう|war-memorial monument
表忠碑|ひょうちゅうひ|war-memorial monument
表徴|ひょうちょう|appearing on the surface
表徴|ひょうちょう|symbol; sign
表徴|ひょうちょう|distinguishing mark; diagnostic character
標徴|ひょうちょう|appearing on the surface
標徴|ひょうちょう|symbol; sign
標徴|ひょうちょう|distinguishing mark; diagnostic character
表通り|おもてどおり|main street
表通|おもてどおり|main street
表土|ひょうど|top soil
表二階|おもてにかい|second floor front room
表日本|おもてにほん|Pacific Ocean coastal regions of Honshu
表白|ひょうはく|expression; confession
表皮|ひょうひ|epithelium; skin; rind
表付き|おもてつき|frontage
表明|ひょうめい|declaration; indication; representation; manifestation; demonstration; expression; announcement; assertion
表面|ひょうめん|surface; face
表面|ひょうめん|outside; exterior
表面|ひょうめん|appearances; superficiality
表面化|ひょうめんか|coming to a head; becoming an issue; breaking
表面上|ひょうめんじょう|on the surface; ostensibly; superficially; apparently
表面張力|ひょうめんちょうりょく|surface tension
表面的|ひょうめんてき|on the surface
表門|おもてもん|front gate
表裏|ひょうり|front and back; inside and outside; two sides; both sides
表裏|ひょうり|duplicity; double-dealing; being two-faced
表裏一体|ひょうりいったい|the two views (of an object) referring to the same thing; being inseparable like the two sides of an object; two sides of the same coin
表立った|おもてだった|public; open; formal; official
表立って|おもてだって|publicly; openly; ostensibly; formally
表だって|おもてだって|publicly; openly; ostensibly; formally
表立つ|おもてだつ|to become public; to be known
評|ひょう|criticism; commentary; a council
評する|ひょうする|to evaluate; to appraise; to comment on
評価|ひょうか|valuation; estimation; assessment; evaluation; rating
評価|ひょうか|to value; to assess; to rate; to estimate value
評価|ひょうか|to appreciate; to value highly; to acknowledge the value (of something)
評議|ひょうぎ|conference; discussion
評議員|ひょうぎいん|trustee; councillor (councilor)
評議会|ひょうぎかい|council (consultatory, advisory); board of trustees
評決|ひょうけつ|decision; verdict
評定|ひょうてい|assessment; rating; grade; evaluation
評判|ひょうばん|fame; reputation; popularity
評判|ひょうばん|rumour (rumor); talk
評論|ひょうろん|criticism; critique
評論家|ひょうろんか|critic; reviewer; commentator
豹変|ひょうへん|sudden change; complete change
ひょう変|ひょうへん|sudden change; complete change
描き出す|えがきだす|to delineate; to draw; to express; to imagine
描きだす|えがきだす|to delineate; to draw; to express; to imagine
