上右|うえみぎ|upper right (corner)
行政紙削減法|ぎょうせいしさくげんほう|Government Paperwork Elimination Act (USA)
洗い出し|あらいだし|washout; elimination; exposure (by washing things away)
でんと||imposingly; heavily; conspicuously; in a dignified manner
文頭|ぶんとう|start of a sentence, phrase, etc.
やりコン||blind date party, with the object of sex
ヤリコン||blind date party, with the object of sex
礼記|らいき|the Li Ji or Book of Rites - one of the Five Classics
四書五経|ししょごきょう|the Four Books and Five Classics of Confucianism; the Nine Chinese Classics
生け間|いけま|compartment in a fishing boat with seawater for reviving or keeping alive fresh fish or bait
活け間|いけま|compartment in a fishing boat with seawater for reviving or keeping alive fresh fish or bait
公私混同|こうしこんどう|intermingling of public policy with private interest; mixing up official business with personal affairs
縦横比|じゅうおうひ|aspect ratio
縦横比|たてよこひ|aspect ratio
殆どない|ほとんどない|almost never; few and far between; little or nothing; hardly any; hardly anything at all; very little
からすると||judging from; on the basis of; from the point of view of
どうするか||what would (you) do?; what to do about it
どうしますか||what would (you) do?; what to do about it
固い話|かたいはなし|serious topic (of conversation)
鍋料理|なべりょうり|hot pot cooking
助平根性|すけべいこんじょう|lechery; lewdness
助平根性|すけべいこんじょう|greed
泥棒根性|どろぼうこんじょう|underhand character; thievish nature
雲助根性|くもすけこんじょう|predatory nature; rapacious disposition
盗人根性|ぬすっとこんじょう|thievish nature (character); thieving heart; cunning and greedy character
盗人根性|ぬすびとこんじょう|thievish nature (character); thieving heart; cunning and greedy character
職人根性|しょくにんこんじょう|spirit of true craftsman; (craftsman's) pride in his work
先祖代代|せんぞだいだい|ancestral; hereditary; generation after generation; passing from father to son
先祖代々|せんぞだいだい|ancestral; hereditary; generation after generation; passing from father to son
分不相応|ぶんふそうおう|beyond one's means or position
無縁墓地|むえんぼち|cemetery for those who left no relatives behind; potter's field
目に入れても痛くない|めにいれてもいたくない|thinking the sun shines out of someone's eyes; being the apple of one's eye; loving someone dearly
目にいれてもいたくない|めにいれてもいたくない|thinking the sun shines out of someone's eyes; being the apple of one's eye; loving someone dearly
述語動詞|じゅつごどうし|predicate verb; predicator
述語論理|じゅつごろんり|predicate logic; predicate calculus
白い目で見る|しろいめでみる|to look coldly at; to turn a cold shoulder
腹を抱える|はらをかかえる|to roll around laughing; to fold up; to hold one's sides with laughter
腹をかかえる|はらをかかえる|to roll around laughing; to fold up; to hold one's sides with laughter
大きな顔をする|おおきなかおをする|to look as if one is important; to swagger around
顔がきく|かおがきく|to have a lot of influence; to have clout; to be well known
顔が利く|かおがきく|to have a lot of influence; to have clout; to be well known
名詞節|めいしせつ|noun clause; nominal clause
付加語|ふかご|adjunct word
形容詞句|けいようしく|adjective phrase; adjectival phrase
建具師|たてぐし|woodworker; joiner
白板|パイパン|white dragon tile
白板|パイパン|shaved pubic area; person with little or no pubic hair
ブラクラ||browser crasher
マイカ||mica
行動変容|こうどうへんよう|behavior modification
若番|わかばん|lower number; lower numbers
老番|おいばん|higher number; higher numbers
明夜|みょうや|tomorrow night
タイプミス||typographical error; typo
タイプ・ミス||typographical error; typo
タンブラー||tumble dryer; tumbler; tumbler dryer
タンブラー||drinking cup
タンプラー||tumble dryer; tumbler; tumbler dryer
タンプラー||drinking cup
最終更新|さいしゅうこうしん|last-update(d)
紅毛夷|こうもうい|late Edo-period pejorative for the Dutch; red-haired barbarian
墨黠虜|ぼくかつりょ|late Edo-period pejorative for Americans
赤荻|せきてき|late Edo-period pejorative for Russians
四夷|しい|Four Barbarians; derogative name for various ancient non-Chinese peoples bordering ancient China
西戎|せいじゅう|Xirong; Rong; inhabitants of the extremities of China as early as the Shang dynasty (1765-1122 BCE); barbarians to the west
手を焼く|てをやく|not know what to do with; to be at a loss with; to have difficulty with; to be put out
喉から手が出る|のどからてがでる|to want something desperately; to want something (so badly one can taste it)
のどから手が出る|のどからてがでる|to want something desperately; to want something (so badly one can taste it)
咽から手が出る|のどからてがでる|to want something desperately; to want something (so badly one can taste it)
閉園|へいえん|closing, either for the day or permanently (e.g. theme park, botanical garden, etc.)
曲順|きょくじゅん|order in which songs, etc. are played
骨シンチ|ほねシンチ|bone scan; bone scintigraphy
羊水過少症|ようすいかしょうしょう|oligohydramnios; oligoamnios
蔵書印|ぞうしょいん|ownership mark or stamp; bookplate
エクスルブリス||ex libris; bookplate
エクスリブリス||ex libris; bookplate
浅発地震|せんぱつじしん|shallow earthquake; shallow-focus earthquake
タイタン||Titans (family of deities in Greek mythology)
タイタン||Titan (moon of Saturn)
足元を見る|あしもとをみる|to take advantage (e.g. of a weak situation); to size up (e.g. customer when setting a high price); from palanquin bearers gauging how weary a traveler's feet are, and raising the price accordingly
足下を見る|あしもとをみる|to take advantage (e.g. of a weak situation); to size up (e.g. customer when setting a high price); from palanquin bearers gauging how weary a traveler's feet are, and raising the price accordingly
足もとを見る|あしもとをみる|to take advantage (e.g. of a weak situation); to size up (e.g. customer when setting a high price); from palanquin bearers gauging how weary a traveler's feet are, and raising the price accordingly
足元をすくう|あしもとをすくう|to trip someone up; to pull the carpet from under
足元を掬う|あしもとをすくう|to trip someone up; to pull the carpet from under
豪腕|ごうわん|strong arm; stout arm
剛腕|ごうわん|strong arm; stout arm
業況判断指数|ぎょうきょうはんだんしすう|diffusion index; DI; business sentiment index
業況|ぎょうきょう|condition of industry, enterprise, etc.
抑え込む|おさえこむ|to shut out one's opponents; to stop the other side from scoring
名詞相当語句|めいしそうとうごく|noun equivalent (noun, pronoun, gerund, etc.); substantive
仮定法相当語句|かていほうそうとうごく|subjunctive equivalent
形容詞相当語句|けいようしそうとうごく|adjectival equivalent
副詞相当語句|ふくしそうとうごく|adverb equivalent
相当語句|そうとうごく|equivalent
既出|きしゅつ|something previously covered (e.g. topic, question)
浮世絵師|うきよえし|ukiyoe artist
浮世絵風|うきよえふう|of the ukiyoe style
は||topic marker particle
は||indicates contrast with another option (stated or unstated)
は||adds emphasis
が||indicates sentence subject (occasionally object)
が||indicates possessive (esp. in literary expressions)
が||but; however; still; and
も||too; also; in addition; as well; (not) either (in a negative sentence)
も||both A and B; A as well as B; neither A nor B (in a negative sentence)
も||even; as much as; as many as; as far as; as long as; no less than; no fewer than
も||even if; even though; although; in spite of
も||further; more; again; another; the other
とは||indicates word or phrase being defined
や||such things as (non-exhaustive list related to a specific time and place); and ... and
や||the minute (that) ...; no sooner than ...; as soon as
や||punctuational exclamation in haiku, renga, etc.
や||interjection expressing surprise
や||hi
や||plain copula
や||yes; what?
や||indicates a question
か||indicates a question (sometimes rhetorical)
か||or; whether or not
か||some- (e.g. something, someone)
か||indicates doubt, uncertainty, etc.
か||emphatic prefix
か||suffix forming adjectives or adverbs
か||in that way
で||indicates location of action; at; in
で||indicates time of action
で||indicates means of action; cause of effect; by
で||and then; so
で||indicates continuing action
で||indicates certainty, emphasis, etc.
にて||indicates location of action; at; in
にて||indicates time of action
にて||indicates means of action; cause of effect; by
にて||and then; so
に||at (place, time); in; on; during
に||to (direction, state); toward; into
に||for (purpose)
に||because of (reason); for; with
に||by; from
に||as (i.e. in the role of)
に||per; in; for; a (e.g. "once a month")
に||and; in addition to
に||if; although
へ||indicates direction or goal (e.g. "to")
を||indicates direct object of action
を||indicates subject of causative expression
を||indicates an area traversed
を||indicates time (period) over which action takes place
を||indicates point of departure or separation of action
を||indicates object of desire, like, hate, etc.
ものの||but; although
ば||if ... then; when
ば||and
ば||why don't you...?
ば||the more (one does something)
ば||because; since
たら||indicates supposition; if ... then; when; after
たら||(typically after someone's name) indicates exasperation
ったら||indicates supposition; if ... then; when; after
ったら||(typically after someone's name) indicates exasperation
たり||-ing and -ing (e.g. "coming and going")
たり||doing such things as...
たり||expresses a command
たり||to be
たり||indicates completion or continuation of an action
だり||-ing and -ing (e.g. "coming and going")
だり||doing such things as...
だり||expresses a command
なり||or something; for instance ... (though there are other suitable options)
なり||... or ...
なり||as soon as; right after
なり||while still; with previous state still in effect
ね||indicates emphasis, agreement, request for confirmation, etc.; is it so
ね||hey; come on; listen
ね||not
ねえ||indicates emphasis, agreement, request for confirmation, etc.; is it so
ねえ||hey; come on; listen
ねえ||not
よ||indicates certainty, emphasis, contempt, request, etc.
よ||used when calling out to someone
よ||used to catch one's breath or get someone's attention
よ||yo!
わ||indicates emotion or admiration
わ||indicates emphasis
わ||wah!
わ||boo!
な||(sentence end, mainly masc.) indicates emotion or emphasis
な||(used with masu stem verb) command
な||(used with dictionary form verb) prohibition
さ||-ness (nominalizing suffix indicating degree or condition)
