卵泡立て器|たまごあわだてき|egg beater
裏返る|うらがえる|to break into falsetto; to crack into falsetto; to squeak; to croak; to quaver
裏反る|うらがえる|to be turned inside out
裏反る|うらがえる|to betray; to double-cross
裏反る|うらがえる|to break into falsetto; to crack into falsetto; to squeak; to croak; to quaver
裏方|うらかた|someone working behind-the-scenes; scene shifter
裏方|うらかた|lady consort (to a high personage)
裏名|うらな|secret name; alias
裏面|りめん|back; reverse; other side; inside; tails (of coins); background
裡面|りめん|back; reverse; other side; inside; tails (of coins); background
裏面史|りめんし|hidden historical background
裏毛|うらけ|fleece lining
裏毛|うらげ|fleece lining
裏木戸|うらきど|back door
裏目|うらめ|reverse side
裏目|うらめ|opposite (of the expected)
裏目|うらめ|purl stitch (knitting)
裏問う|うらどう|to ascertain a person's innermost feelings
裏紋|うらもん|informal crest
裏門|うらもん|back gate
裏話|うらばなし|inside story; the real story (behind something); story not generally known
里|さと|village; hamlet
里|さと|countryside; country
里|さと|home (of one's parents, etc.); hometown
里|さと|one's origins; one's upbringing; one's past
郷|さと|village; hamlet
郷|さと|countryside; country
里|り|Japanese league; ri; old Japanese unit of distance, approx. 3.927km or 2.44 miles
里|り|neighbourhood (under the ritsuryo system; orig. of 50 homes)
里|り|unit of area (approx. 654m by 654m)
里芋|さといも|taro (Colocasia esculenta); dasheen; eddo
サトイモ||taro (Colocasia esculenta); dasheen; eddo
里帰り|さとがえり|returning home; visiting one's parents; new bride's first visit to parents
里子|さとご|foster child
里心|さとごころ|homesickness; nostalgia
里方|さとかた|wife's family
離す|はなす|to separate; to part; to divide; to keep apart
離れる|はなれる|to be separated; to be apart; to be distant
離れる|はなれる|to leave; to go away
離れる|はなれる|to leave (a job, etc.); to quit; to give up
離れる|はなれる|to lose connection with; to drift away from
離隔|りかく|isolation; separation
離宮|りきゅう|imperial villa; royal villa; detached palace
離苦|りく|agony of separation
離婚|りこん|divorce
離婚訴訟|りこんそしょう|divorce suit; divorce proceedings
離魂病|りこんびょう|somnambulism
離散|りさん|dispersal; scattering
離散|りさん|discrete
離礁|りしょう|refloat
離脱|りだつ|withdrawal; secession; separation; breakaway
離乳|りにゅう|weaning
離反|りはん|estrangement; alienation; disaffection
離別|りべつ|separation; divorce
離陸|りりく|takeoff
陸|りく|land; shore
陸|おか|land; shore
陸運|りくうん|land transportation
陸運局|りくうんきょく|District Land Transport Bureau (i.e. motor traffic agency) (USA: DMV)
陸軍|りくぐん|army
陸行|りっこう|go by land
陸将|りくしょう|general; lieutenant general
陸上|りくじょう|land; ground; shore
陸上|りくじょう|track-and-field events
陸上競技|りくじょうきょうぎ|track-and-field events
陸上作戦本部|りくじょうさくせんほんぶ|tactical operations center; tactical operations centre
陸戦|りくせん|land war
陸曹|りくそう|non-commissioned officer
陸曹等|りくそうとう|enlisted man
陸相|りくしょう|army minister
陸棚|りくだな|continental shelf
陸棚|りくほう|continental shelf
陸湯|おかゆ|hot water used for cleaning up
陸風|りくふう|land breeze
陸風|りくかぜ|land breeze
陸路|りくろ|overland route; land route
律|りつ|law (esp. ancient East Asian criminal code); regulation
律|りつ|vinaya (rules for the monastic community)
律|りつ|Ritsu (school of Buddhism)
律|りつ|lushi (style of Chinese poem)
律|りつ|(musical) pitch
律|りつ|six odd-numbered notes of the ancient chromatic scale
律|りつ|Japanese seven-tone gagaku scale, similar to Dorian mode (corresponding to: re, mi, fa, so, la, ti, do)
律|りつ|(in traditional Eastern music) step (corresponding to a Western semitone)
律義|りちぎ|honesty; faithfulness; conscientiousness; integrity
律儀|りちぎ|honesty; faithfulness; conscientiousness; integrity
律動|りつどう|rhythm
律令|りつりょう|criminal, administrative and civil codes (forming the basis of ancient East Asian law; orig. Chinese); legal codes of the Nara and Heian eras based on Chinese models
律令|りつれい|criminal, administrative and civil codes (forming the basis of ancient East Asian law; orig. Chinese); legal codes of the Nara and Heian eras based on Chinese models
率|りつ|rate; ratio; proportion; percentage
率いる|ひきいる|to lead; to spearhead (a group); to command (troops)
率先躬行|そっせんきゅうこう|taking a lead in (doing); setting an example of (doing)
率土|そっと|face of the earth
立ち|たち|departure; setting off; start
立ち|たち|being used up; being consumed; being burnt out
立ち|たち|passage of time; lapse
立ち|たち|rehearsal
立ち|たち|leading male role in kabuki
立ち|たち|rising from a crouch to charge; initial charge; faceoff
立ち|たち|verb prefix conveying emphasis and sometimes formality
立ちはだかる|たちはだかる|to stand in the way (esp. with legs spread out); to block one's way; to obstruct (progress etc.)
立ち開かる|たちはだかる|to stand in the way (esp. with legs spread out); to block one's way; to obstruct (progress etc.)
立ち会う|たちあう|to be present; to be witness to
立会う|たちあう|to be present; to be witness to
立ち回り先|たちまわりさき|whereabouts; present location
立回り先|たちまわりさき|whereabouts; present location
立ち回る|たちまわる|to walk about; to walk around
立ち回る|たちまわる|to conduct oneself
立ち回る|たちまわる|to turn up
立ち回る|たちまわる|to brawl (in a play, etc.)
立回る|たちまわる|to walk about; to walk around
立回る|たちまわる|to conduct oneself
立回る|たちまわる|to turn up
立回る|たちまわる|to brawl (in a play, etc.)
立ち寄る|たちよる|to stop by; to drop in for a short visit
立寄る|たちよる|to stop by; to drop in for a short visit
立ちよる|たちよる|to stop by; to drop in for a short visit
立ち去る|たちさる|to leave; to depart; to take one's leave
立去る|たちさる|to leave; to depart; to take one's leave
立ち交じる|たちまじる|to join (a group); to join companions
立ちまじる|たちまじる|to join (a group); to join companions
立ち交る|たちまじる|to join (a group); to join companions
立ち向かう|たちむかう|to fight against; to oppose; to face
立ち行く|たちいく|to maintain itself; to last; to make itself pay; to make a living; to keep going
立ち行く|たちゆく|to maintain itself; to last; to make itself pay; to make a living; to keep going
立ち止まる|たちどまる|to stop; to halt; to stand still
立ち止る|たちどまる|to stop; to halt; to stand still
立ちどまる|たちどまる|to stop; to halt; to stand still
立止る|たちどまる|to stop; to halt; to stand still
立ち留まる|たちどまる|to stop; to halt; to stand still
立留まる|たちどまる|to stop; to halt; to stand still
立留る|たちどまる|to stop; to halt; to stand still
立ち至る|たちいたる|to come to (a serious state); to reach
立至る|たちいたる|to come to (a serious state); to reach
立ち到る|たちいたる|to come to (a serious state); to reach
立ち上がる|たちあがる|to stand up; to get up
立ち上がる|たちあがる|to rise
立ち上がる|たちあがる|to recover
立ち上がる|たちあがる|to take action; to start
立ち上がる|たちあがる|to make the initial charge
立ち上がる|たちあがる|to start up; to boot up
立上がる|たちあがる|to stand up; to get up
立上がる|たちあがる|to rise
立上がる|たちあがる|to recover
立上がる|たちあがる|to take action; to start
立上がる|たちあがる|to make the initial charge
立上がる|たちあがる|to start up; to boot up
起ち上がる|たちあがる|to stand up; to get up
起ち上がる|たちあがる|to rise
起ち上がる|たちあがる|to recover
起ち上がる|たちあがる|to take action; to start
起ち上がる|たちあがる|to make the initial charge
起ち上がる|たちあがる|to start up; to boot up
立ちあがる|たちあがる|to stand up; to get up
立ちあがる|たちあがる|to rise
立ちあがる|たちあがる|to recover
立ちあがる|たちあがる|to take action; to start
立ちあがる|たちあがる|to make the initial charge
立ちあがる|たちあがる|to start up; to boot up
立ち上げる|たちあげる|to start (something); to start up; to boot (a computer); to launch (a business)
立ちあげる|たちあげる|to start (something); to start up; to boot (a computer); to launch (a business)
立ち食い|たちぐい|eating while standing; eating at a (street) stall
立食い|たちぐい|eating while standing; eating at a (street) stall
立ち喰い|たちぐい|eating while standing; eating at a (street) stall
立喰い|たちぐい|eating while standing; eating at a (street) stall
立ち振る舞う|たちふるまう|to act; to behave
立ち振舞う|たちふるまう|to act; to behave
立ち退かせる|たちのかせる|to evict; to eject
立ち退く|たちのく|to evacuate; to clear out; to vacate; to withdraw; to take refuge
立退く|たちのく|to evacuate; to clear out; to vacate; to withdraw; to take refuge
立ち直り|たちなおり|recovery; restoration
立ち直る|たちなおる|to regain one's footing; to get back on one's feet
立ち直る|たちなおる|to recover; (of the market) to improve
立ちなおる|たちなおる|to regain one's footing; to get back on one's feet
立ちなおる|たちなおる|to recover; (of the market) to improve
立直る|たちなおる|to regain one's footing; to get back on one's feet
立直る|たちなおる|to recover; (of the market) to improve
立ち読み|たちよみ|reading while standing (in a bookstore, etc.); browsing (i.e. reading an item but not buying it)
立読み|たちよみ|reading while standing (in a bookstore, etc.); browsing (i.e. reading an item but not buying it)
立ち並ぶ|たちならぶ|to stand in a row (e.g. shops on a street); to line in a row; to line
立ち並ぶ|たちならぶ|to be equal to; to be on a par with
建ち並ぶ|たちならぶ|to stand in a row (e.g. shops on a street); to line in a row; to line
立並ぶ|たちならぶ|to stand in a row (e.g. shops on a street); to line in a row; to line
立並ぶ|たちならぶ|to be equal to; to be on a par with
立ち返る|たちかえる|to come back (to); to return to a starting point
立ち戻る|たちもどる|to return; to come back
立戻る|たちもどる|to return; to come back
立ち話|たちばなし|talking while standing; standing around talking
立話|たちばなし|talking while standing; standing around talking
立ちすくむ|たちすくむ|to be petrified; to be unable to move; to be paralyzed (with horror); to be stupefied (with amazement)
立ち竦む|たちすくむ|to be petrified; to be unable to move; to be paralyzed (with horror); to be stupefied (with amazement)
立ち込める|たちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
立ちこめる|たちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
立ち籠める|たちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
立込める|たちこめる|to hang over; to shroud; to enshroud; to envelop; to screen
立つ鳥跡を濁さず|たつとりあとをにごさず|it is simply common courtesy to clean up after yourself; a bird does not foul the nest it is about to leave; on leaving a place one should see that all is in good order
立てる|たてる|to stand up; to put up; to set up; to erect; to raise
立てる|たてる|to thrust into; to bury into; to dig into
立てる|たてる|to make (a noise); to start (a rumour); to raise (a cloud of dust, etc.); to cause
立てる|たてる|to make; to establish; to set up; to develop; to formulate
立てる|たてる|to put up (a political candidate); to make (one's leader)
立てる|たてる|to treat with respect; to give (someone) their due; to make (someone) look good; to avoid embarrassing (someone)
立てる|たてる|to sharpen; to make clear
立てる|たてる|to shut; to close
立てる|たてる|to make tea (matcha); to perform the tea ceremony
立てる|たてる|to divide by
立てる|たてる|to do ... vigorously
立て掛ける|たてかける|to lean against; to set against
立てかける|たてかける|to lean against; to set against
立て替える|たてかえる|to pay an advance; to put down money on something
立て替える|たてかえる|to pay for another; to pay someone else's debt as a loan to him
立て直る|たてなおる|to recover; to rally; to pick up
立て通す|たてとおす|to push through (an idea)
立葵|たちあおい|hollyhock (Alcea rosea)
立ち葵|たちあおい|hollyhock (Alcea rosea)
タチアオイ||hollyhock (Alcea rosea)
立案|りつあん|draft; draught; (rough) design
立夏|りっか|first day of summer (approx. May. 6)
立脚|りっきゃく|being based on
立憲|りっけん|constitutionalism
立憲君主政|りっけんくんしゅせい|constitutional monarchy; limited monarchy
立憲君主制|りっけんくんしゅせい|constitutional monarchy; limited monarchy
立候補|りっこうほ|announcing candidacy; becoming a candidate; bidding (to host an event e.g. Olympics, World Cup)
立塞がる|たちふさがる|to stand in one's way
立ち塞がる|たちふさがる|to stand in one's way
立ちふさがる|たちふさがる|to stand in one's way
立秋|りっしゅう|first day of autumn (approx. Aug. 8); first day of fall
立春|りっしゅん|first day of spring (according to the traditional lunisolar calendar, approx. Feb. 4)
立証|りっしょう|establishing proof; demonstration; substantiation
立場|たちば|standpoint; position; situation
立正佼成会|りっしょうこうせいかい|Rissho Kosei-kai (offshoot of Nichiren-Buddhism founded in 1938)
立体|りったい|solid body; three-dimensional object
立体|りったい|multi-storey car park
立体化学|りったいかがく|stereochemistry
立体感|りったいかん|feeling of solidity; three-dimensionality; drawing highlights
立体派|りったいは|Cubism
立冬|りっとう|first day of winter (approx. Nov. 8)
立派|りっぱ|splendid; fine; handsome; elegant; imposing; prominent
立派|りっぱ|praiseworthy; creditable; worthy
立派|りっぱ|legal; legitimate; lawful
立派|りっぱ|undeniable (e.g. crime); indisputable; solid
立腹|りっぷく|anger; offence; offense; rage; taking offense; taking offence
立方|たちかた|way of standing
立方|たちかた|dancer (in a Japanese dance performance)
立ち方|たちかた|way of standing
立ち方|たちかた|dancer (in a Japanese dance performance)
立方|りっぽう|cube
立方体|りっぽうたい|cube
立法|りっぽう|legislation; lawmaking
立法者|りっぽうしゃ|legislator
立法府|りっぽうふ|assize; court
立法府|りっぽうふ|legislature
立論|りつろん|argument(ation)
掠める|かすめる|to steal; to rob; to snatch; to pocket; to plunder
掠める|かすめる|to deceive; to trick; to cheat
掠める|かすめる|to graze (in passing); to skim; to brush against; to touch lightly
掠める|かすめる|to appear and quickly disappear (a thought, a smile, etc.); to flit (through one's mind, across one's face)
掠める|かすめる|to do (something) while no one is looking
掠める|かすめる|to hint at; to suggest; to insinuate
掠め取る|かすめとる|to snatch; to steal
かすめ取る|かすめとる|to snatch; to steal
掠めとる|かすめとる|to snatch; to steal
掠め奪う|かすめうばう|to plunder
掠り|かすり|grazing; touching lightly
掠り|かすり|squeezing (someone for money); percentage; kickback
擦り|かすり|grazing; touching lightly
擦り|かすり|squeezing (someone for money); percentage; kickback
掠れる|かすれる|to get blurred
掠れる|かすれる|to get hoarse; to get husky
掠れる|かすれる|to graze; to scrape; to touch
擦れる|かすれる|to get blurred
擦れる|かすれる|to get hoarse; to get husky
擦れる|かすれる|to graze; to scrape; to touch
略|ほぼ|almost; roughly; approximately
粗|ほぼ|almost; roughly; approximately
略|りゃく|abbreviation; omission
略す|りゃくす|to abbreviate; to omit
略す|りゃくす|to take; to capture
略記|りゃっき|abbreviation
略儀|りゃくぎ|informality
略語|りゃくご|abbreviation; acronym
略字|りゃくじ|simplified character (i.e. kanji)
略字|りゃくじ|acronym; abbreviation
略式|りゃくしき|informal; simplified
略取|りゃくしゅ|abduction
略称|りゃくしょう|abbreviation
略装|りゃくそう|demitoilet; ordinary dress
略奪行為|りゃくだつこうい|looting
略名|りゃくめい|mnemonic
略歴|りゃくれき|brief personal record; short curriculum vitae; short CV
流|りゅう|fashion; way; style; manner
流|りゅう|school (of thought)
流|りゅう|class; rank; rate
流|りゅう|current (electrical, water, etc.); flow; stream
流し|ながし|sink (e.g. kitchen)
流し|ながし|cruising (e.g. taxi); strolling (entertainer, musician, etc.)
流し|ながし|washing area in a Japanese-style bath
流し|ながし|back-washing service (in a public bath)
流し|ながし|floating (something on water); setting adrift; washing away
流し込む|ながしこむ|to pour into; to wash down
流し込む|ながしこむ|to insert (e.g. into a data stream)
流す|ながす|to drain; to pour; to spill; to shed (blood, tears)
流す|ながす|to wash away
流す|ながす|to distribute (e.g. electricity over wires, music over a PA system, etc.); to circulate; to broadcast; to beam
流す|ながす|to cruise (e.g. taxi)
流す|ながす|to float; to set adrift
流す|ながす|to call off (a meeting, etc.)
流れ|ながれ|stream; current; flow
流れ|ながれ|course of events
流れる|ながれる|to stream; to flow (liquid, time, etc.); to run (ink)
流れる|ながれる|to be washed away; to be carried
流れる|ながれる|to drift; to float (e.g. clouds); to wander; to stray
流れる|ながれる|to sweep (e.g. rumour, fire); to spread; to circulate
流れる|ながれる|to be heard (e.g. music); to be played
流れる|ながれる|to lapse (e.g. into indolence, despair)
流れる|ながれる|to pass; to elapse; to be transmitted
流れる|ながれる|to be called off; to be forfeited
流れる|ながれる|to disappear; to be removed
流れ込む|ながれこむ|to flow into; to pour into; to stream into
流れ者|ながれもの|stranger; tramp; wanderer
流れ出す|ながれだす|to flow out; to stream out; to pour out; to gush forth; to leak; to ooze out; to drift away
流れ出る|ながれでる|to flow out; to stream out; to pour out; to gush forth; to leak; to ooze out; to drift away
流れ図|ながれず|flowchart; flow diagram
流れ星|ながれぼし|shooting star; falling star; meteor
流れ星|ながれぼし|star (white patch on the forehead of a horse)
流れ弾|ながれだま|stray bullet
流れ玉|ながれだま|stray bullet
流れ着く|ながれつく|to drift to; to be washed ashore
流域|りゅういき|(river) basin
流音|りゅうおん|liquid sound
流感|りゅうかん|influenza; flu; cold
流儀|りゅうぎ|style; fashion
流儀|りゅうぎ|school (e.g. of poetry)
流刑|りゅうけい|exile; deportation
流刑|るけい|exile; deportation
流刑地|りゅうけいち|penal colony
流血|りゅうけつ|bloodshed
流言飛語|りゅうげんひご|false (wild, groundless) rumor (rumour); canard
流言蜚語|りゅうげんひご|false (wild, groundless) rumor (rumour); canard
流行る|はやる|to be popular; to come into fashion
流行る|はやる|to be prevalent; to spread widely (e.g. disease); to be endemic
流行る|はやる|to flourish; to thrive
流行歌|りゅうこうか|popular song; hit song
流行性感冒|りゅうこうせいかんぼう|influenza; flu
流産|りゅうざん|miscarriage; (spontaneous) abortion; abortive birth
流出|りゅうしゅつ|discharge; outward flow; efflux; effluence; haemorrhage; hemorrhage; bleeding (e.g. ink into paper)
流出|りゅうしゅつ|leak of (private) information or pictures
流水|りゅうすい|running water; stream
流星|りゅうせい|meteor; falling star
流星雨|りゅうせいう|meteor shower
流石|さすが|as one would expect
流石|さすが|still; all the same
流石|さすが|even... (e.g. "even a genius...")
遉|さすが|as one would expect
遉|さすが|still; all the same
遉|さすが|even... (e.g. "even a genius...")
有繋|さすが|as one would expect
有繋|さすが|still; all the same
有繋|さすが|even... (e.g. "even a genius...")
流体|りゅうたい|fluid
流体力学|りゅうたいりきがく|fluid mechanics; fluid dynamics; hydrodynamics
流弾|りゅうだん|stray bullet
流暢|りゅうちょう|fluent (language skill); flowing
流ちょう|りゅうちょう|fluent (language skill); flowing
流通|りゅうつう|circulation (money, goods, etc.); distribution
流通|りゅうつう|circulation (air, water, etc.); ventilation; flow
流通|りゅうつう|negotiable (e.g. shares); distributional; circulating
流鏑馬|やぶさめ|horseback archery
流動|りゅうどう|flow
流動資産|りゅうどうしさん|current assets
流動性|りゅうどうせい|liquidity (esp. financial)
流動性|りゅうどうせい|fluidity
流動性|りゅうどうせい|mobility (social, job, etc.)
流動的|りゅうどうてき|fluid; unsettled
流動負債|りゅうどうふさい|current liabilities
流入|りゅうにゅう|afflux; influx
流派|りゅうは|school (e.g. of ikebana)
流氷|りゅうひょう|drift ice; ice floe
流布|るふ|circulation; dissemination
流用|りゅうよう|diversion; appropriation (e.g. of funds); misappropriation
流用|りゅうよう|re-use (e.g. old computer parts); recycling
流離|さすらい|wandering (e.g. bird, exile, lifestyle); wandering alone in a strange country
流離|りゅうり|wandering (e.g. bird, exile, lifestyle); wandering alone in a strange country
流離う|さすらう|to wander; to roam
流量|りゅうりょう|flow rate (esp. water or electricity); quantity of flow; capacity (of output or throughput per unit time)
流浪|るろう|vagrancy; wandering; nomadism
流浪の民|るろうのたみ|wandering people; nomadic tribe
流浪者|るろうしゃ|nomad
溜まり|たまり|pile; pool; collection
溜まり|たまり|gathering spot
溜まり|たまり|waiting place for a wrestler beside the ring
