無限軌道|むげんきどう|continuous track; caterpillar track
優良店|ゆうりょうてん|store holding a special commendation (e.g. from the mayor)
友好関係|ゆうこうかんけい|(establish) friendly (cordial) relations (with, between); (form) friendship (e.g. with a nation)
有価物|ゆうかぶつ|valuables
有害物質|ゆうがいぶっしつ|toxic substance
有機農法|ゆうきのうほう|organic agriculture (farming)
有機肥料|ゆうきひりょう|organic fertilizer; organic fertiliser
有限集合|ゆうげんしゅうごう|finite set
有効期間|ゆうこうきかん|term of validity; period for which (a ticket) is available (valid)
有効期間|ゆうこうきげん|term of validity; period for which (a ticket) is available (valid)
有効打|ゆうこうだ|telling blow
有罪判決|ゆうざいはんけつ|guilty verdict; judgment of guilty (judgement)
有性生殖|ゆうせいせいしょく|sexual reproduction; zoogamy
有声子音|ゆうせいしいん|voiced consonant
有線通信|ゆうせんつうしん|cable communications
有望株|ゆうぼうかぶ|hopeful stock (share)
有名校|ゆうめいこう|famous school or university
有理関数|ゆうりかんすう|rational function
有料駐車場|ゆうりょうちゅうしゃじょう|toll parking lot; toll car park
誘拐事件|ゆうかいじけん|kidnapping; kidnaping
誘導電動機|ゆうどうでんどうき|induction motor
遊休地|ゆうきゅうち|idle land
遊覧飛行|ゆうらんひこう|sightseeing flight
郵便書簡|ゆうびんしょかん|letter-card
郵便小包|ゆうびんこづつみ|parcel
郵便振替|ゆうびんふりかえ|postal transfer
予選通過者|よせんつうかしゃ|qualifier
予定調和|よていちょうわ|pre-established harmony (i.e. Leibniz' "harmonie préétablie")
予備軍|よびぐん|reserves (esp. troops); reserve army
予備軍|よびぐん|potential members of some group (e.g. the elderly); people at risk (e.g. of a medical condition); wannabees
予備調査|よびちょうさ|preliminary investigation
予約係|よやくがかり|reservation desk (of an airline)
予約制|よやくせい|(on) a subscription basis
予約席|よやくせき|reserved seat
預金口座|よきんこうざ|bank account
預金通帳|よきんつうちょう|(deposit) passbook; bankbook
預託金|よたくきん|deposit
養殖場|ようしょくじょう|nursery; (breeding) farm
翼面積|よくめんせき|wing area
落選者|らくせんしゃ|unsuccessful candidate
利潤追求|りじゅんついきゅう|pursuit of profits; profit-seeking
理科大学|りかだいがく|college of science
理学博士|りがくはかせ|Doctor of Science; DSc
理学博士|りがくはくし|Doctor of Science; DSc
理工科|りこうか|department of science and technology
理工系|りこうけい|science and technology
理事国|りじこく|member country of the executive committee in an international organization (organisation)
理想論|りそうろん|idealistic thought (argument)
理論体系|りろんたいけい|body of theory
離婚率|りこんりつ|divorce rate
陸海空軍|りくかいくうぐん|land, sea and air forces
立候補者|りっこうほしゃ|candidate (for)
流通機構|りゅうつうきこう|distribution system
流通経路|りゅうつうけいろ|distribution channel; channel of distribution
旅客列車|りょかくれっしゃ|passenger train
旅客列車|りょきゃくれっしゃ|passenger train
旅行鞄|りょこうかばん|traveling bag; travelling bag; suitcase
旅行業者|りょこうぎょうしゃ|travel agent
旅行日程|りょこうにってい|itinerary
了解事項|りょうかいじこう|understanding (between the two)
両替手数料|りょうがえてすうりょう|commission for an exchange
両替所|りょうがえじょ|exchange counter (office)
料金表|りょうきんひょう|list or table of charges; tariff; price list
料理教室|りょうりきょうしつ|cooking class; cookery school
料理番|りょうりばん|a cook
療養費|りょうようひ|medical expenses
量記号|りょうきごう|quantifier
量販店|りょうはんてん|mass marketer; emporium; volume retailer
領海線|りょうかいせん|territorial limits
領土保全|りょうどほぜん|maintenance of territorial integrity
臨時増刊|りんじぞうかん|extra (special) issue (e.g. of a magazine)
臨床心理学|りんしょうしんりがく|clinical psychology
隣町|となりまち|neighboring town; neighbouring town; adjacent town
類似品|るいじひん|imitation; similar article; similar goods
冷却液|れいきゃくえき|coolant
冷却水|れいきゃくすい|coolant
冷蔵室|れいぞうしつ|cold room; refrigerated room
冷凍機|れいとうき|refrigerator; freezer
冷凍器|れいとうき|refrigerator; freezer
冷凍室|れいとうしつ|freezing compartment; freezer
霊感商法|れいかんしょうほう|fraudulent way of business, cajoling people into buying articles for an extremely high price by claiming they will bring good luck
劣性遺伝子|れっせいいでんし|recessive gene
練習機|れんしゅうき|trainer; training plane
練習試合|れんしゅうじあい|practice game; practice match; scrimmage; workout
練習所|れんしゅうじょ|training school or institute
練習生|れんしゅうせい|student; trainee
練習不足|れんしゅうぶそく|lack of training
練習問題|れんしゅうもんだい|exercises; practice problem
連勝複式|れんしょうふくしき|quinella (dual forecast)
連続写真|れんぞくしゃしん|sequence photographs; serial photographs; photographic strip
連続体|れんぞくたい|continuum; continua
連邦政府|れんぽうせいふ|federal government (e.g. USA, Australia, Mexico, Germany, Canada)
連絡会議|れんらくかいぎ|liaison conference
連絡切符|れんらくきっぷ|connection (interline) ticket
連立政権|れんりつせいけん|coalition government
錬金術師|れんきんじゅつし|alchemist
路上駐車|ろじょうちゅうしゃ|parking on the streets; on-street parking
露出狂|ろしゅつきょう|exhibitionist; flasher
露出時間|ろしゅつじかん|exposure time
露出不足|ろしゅつぶそく|underexposure
労使紛争|ろうしふんそう|industrial (labor-management) dispute (labour); industrial strife
労働基準法|ろうどうきじゅんほう|Labor Standards Act
労働法|ろうどうほう|labor law; labour law
老荘思想|ろうそうしそう|philosophy of Lao-tse and Chuang-tse; Taoism
肋間神経痛|ろっかんしんけいつう|intercostal neuralgia
和声学|わせいがく|harmonics
和声法|わせいほう|law of harmony
喀痰検査|かくたんけんさ|examination of somebody's sputum
罹患率|りかんりつ|disease rate; infection rate; morbidity rate
猥褻文書|わいせつぶんしょ|indecent writings; pornography
籐椅子|とういす|wicker(work) (cane, rattan) chair
籐いす|とういす|wicker(work) (cane, rattan) chair
輻射線|ふくしゃせん|radiation; radiant rays
輻射熱|ふくしゃねつ|radiant heat; photothermal
ジャパゆきさん||Asian woman working in Japan
じゃぱゆきさん||Asian woman working in Japan
緩和振動|かんわしんどう|relaxation oscillation
弛張振動|しちょうしんどう|relaxation oscillation
跳躍振動|ちょうやくしんどう|relaxation oscillation
軟判定識別器|なんはんていしきべつき|soft-decision discriminator
減衰率|げんすいりつ|attenuation (factor, rate)
ダイヤルアップ||dial-up (esp. modem connection)
ダイアルアップ||dial-up (esp. modem connection)
ダイヤル・アップ||dial-up (esp. modem connection)
ダイアル・アップ||dial-up (esp. modem connection)
要を得る|ようをえる|to be to the point
見境なしに|みさかいなしに|indiscriminately; giving no heed to
他|た|other (esp. people and abstract matters)
達し|たっし|official notice; notification
達示|たっし|official notice; notification
オービス||speed camera
トロリーバス||trolleybus
バーコードヘア||combover; comb-over; hair combed in stripes across a bald pate
このぐらい||to this extent
エルグ||erg
燻す|いぶす|to smoke (something); to fumigate
燻す|いぶす|to oxidize; to oxidise
浮かす|うかす|to float
浮かす|うかす|to save (on one's expenses); to scrimp
浮かす|うかす|to half-rise, e.g. to one's feet
溺らす|おぼらす|to drown
溺らす|おぼらす|to cause to be indulged or addicted
絡める|からめる|to entwine; to twine around; to mix together
絡める|からめる|to coordinate (with)
絡める|からめる|to arrest
搦める|からめる|to entwine; to twine around; to mix together
搦める|からめる|to coordinate (with)
搦める|からめる|to arrest
大洋州|たいようしゅう|Oceania; Pacific Ocean countries
アジア太平洋|アジアたいへいよう|Asia-Pacific (region)
地球温暖化防止|ちきゅうおんだんかぼうし|prevention of global warming
お世話をする|おせわをする|to take care of
御世話をする|おせわをする|to take care of
無理はない|むりはない|(to be) natural; (to be) understandable
お願いごと|おねがいごと|request
お願い事|おねがいごと|request
三国人|さんごくじん|national of a third country
三国人|さんごくじん|foreigner resident in Japan (esp. Chinese and Korean)
三国人|さんこくじん|national of a third country
三国人|さんこくじん|foreigner resident in Japan (esp. Chinese and Korean)
呪詛|じゅそ|curse; malediction; hex
呪詛|ずそ|curse; malediction; hex
呪咀|じゅそ|curse; malediction; hex
咒詛|じゅそ|curse; malediction; hex
鉄菱|てつびし|caltrop
隠遁者|いんとんしゃ|recluse
振りかぶる|ふりかぶる|to hold aloft (e.g. a sword); to brandish
振り被る|ふりかぶる|to hold aloft (e.g. a sword); to brandish
申述をする|しんじゅつをする|to make a statement (before a court)
共同権利者|きょうどうけんりしゃ|co-creditor
共同義務者|きょうどうぎむしゃ|co-debtor
償還義務者|しょうかんぎむしゃ|guarantor (of a payment)
保佐人|ほさにん|conservator; curator
補助人|ほじょにん|limited guardian
合議体|ごうぎたい|collegiate body; collegial body; judicial panel
馳せる|はせる|to run; to hurry (when going somewhere)
馳せる|はせる|to drive (a car) quickly; to ride fast (on a horse)
馳せる|はせる|to win (fame)
訪露|ほうろ|visit to Russia
テンプ||temporary
議院運営委員長|ぎいんうんえいいいんちょう|House Steering Committee Chairman
条件づけ|じょうけんづけ|conditioning
条件付け|じょうけんづけ|conditioning
紹介文|しょうかいぶん|introductory essay
貸出用|かしだしよう|circulation or lending (e.g. library books)
もぎ取る|もぎとる|to pluck off (esp. by twisting); to pick; to break off; to tear off
もぎ取る|もぎとる|to wrest (away from); to wrench free; to snatch (away)
捥ぎ取る|もぎとる|to pluck off (esp. by twisting); to pick; to break off; to tear off
捥ぎ取る|もぎとる|to wrest (away from); to wrench free; to snatch (away)
頑張って|がんばって|do your best; go for it; hold on; keep at it
なんて目じゃない|なんてめじゃない|it's not a problem; it's not a big deal; (person or thing) can be easily beaten or bettered (by one)
鰺刺|あじさし|tern (esp. the common tern, Sterna hirundo)
アジサシ||tern (esp. the common tern, Sterna hirundo)
極鰺刺|きょくあじさし|Arctic tern (Sterna paradisaea)
キョクアジサシ||Arctic tern (Sterna paradisaea)
背黒鰺刺|せぐろあじさし|sooty tern
ラット||rat (esp. laboratory or pet)
三悪道|さんあくどう|the world of hungry spirits and the world of animals; three evil worlds hell
三悪道|さんなくどう|the world of hungry spirits and the world of animals; three evil worlds hell
三悪道|さんまくどう|the world of hungry spirits and the world of animals; three evil worlds hell
三分の一|さんぶんのいち|one third; a third part
３分の１|さんぶんのいち|one third; a third part
スクウェア||square
ウザイ||annoying; noisy
ウザイ||strict
うざい||annoying; noisy
うざい||strict
ウザい||annoying; noisy
ウザい||strict
うざったい||annoying; noisy
うざったい||strict
ウザったい||annoying; noisy
ウザったい||strict
ウザッタイ||annoying; noisy
ウザッタイ||strict
ウザッたい||annoying; noisy
ウザッたい||strict
訴訟人|そしょうにん|litigant; plaintiff; suitor
補助参加人|ほじょさんかにん|auxiliary intervenor (in a lawsuit)
被保佐人|ひほさにん|person subject to a conservatorship or curatorship
被補助人|ひほじょじん|person subject to a limited guardianship
現金問屋|げんきんどんや|cash-basis wholesaler
振出日|ふりだしび|issue date (e.g. of a promissory note)
元入金|もとにゅうきん|capital
疎明|そめい|explanation (for purpose of convincing a judge)
補助参加|ほじょさんか|auxiliary intervention (in a lawsuit)
対世効|たいせいこう|binding legal effectiveness as to third parties
審級|しんきゅう|instance (e.g. first instance, second instance, etc. in a legal proceeding)
展覧会場|てんらんかいじょう|show-room
無認識|むにんしき|unrecognized; unrecognised; lack of recognition
無認可|むにんか|unapproved; lack of approval
平水夫|へいすいふ|foremast hand; common sailor
キャリア組|キャリアぐみ|career bureaucrats
虫卵|ちゅうらん|insect egg; insect eggs
虫卵|ちゅうらん|parasite egg; parasite eggs
解れる|ほつれる|to become frayed; to become loose
狡ける|ずるける|to shirk one's duties; to be idle; to play truant
狡ける|ずるける|to come loose; to come undone; to get untied
お手前|おてまえ|skill; dexterity; artistry; ingenuity
お手前|おてまえ|etiquette of tea-ceremony
お点前|おてまえ|skill; dexterity; artistry; ingenuity
お点前|おてまえ|etiquette of tea-ceremony
御手前|おてまえ|skill; dexterity; artistry; ingenuity
御手前|おてまえ|etiquette of tea-ceremony
ガリ版|ガリばん|mimeograph
がり版|がりばん|mimeograph
ざら紙|ざらがみ|pulp paper; rough (printing) paper
じり高|じりだか|gradual rise in prices
ジリ高|ジリだか|gradual rise in prices
でっち上げ|でっちあげ|fabrication; put-up job; trumped-up story; frame-up; hoax
捏ち上げ|でっちあげ|fabrication; put-up job; trumped-up story; frame-up; hoax
捏っち上げ|でっちあげ|fabrication; put-up job; trumped-up story; frame-up; hoax
とろ火|とろび|low flame (heat, gas)
どんでん返し|どんでんがえし|(sudden) complete reversal (of plot); unexpected twist (at end of story)
ぬるま湯|ぬるまゆ|tepid water; lukewarm water
ぬるま湯|ぬるまゆ|comfortable; easy; relaxed; complacent; cossetted; unstimulating; dull; uneventful
微温湯|ぬるまゆ|tepid water; lukewarm water
微温湯|ぬるまゆ|comfortable; easy; relaxed; complacent; cossetted; unstimulating; dull; uneventful
微温湯|びおんとう|tepid water; lukewarm water
微温湯|ぬるゆ|tepid water; lukewarm water
安全基準|あんぜんきじゅん|safety standards
異人種|いじんしゅ|alien (different) race
異民族|いみんぞく|different race; different ethnic group; different peoples
胃拡張|いかくちょう|gastric dilation; dilation of stomach
一区切り|ひとくぎり|end; break
一篇|いっぺん|piece (e.g. poetry); poem; essay; book; story
一編|いっぺん|piece (e.g. poetry); poem; essay; book; story
引き延ばし|ひきのばし|extension; prolongation
引き延ばし|ひきのばし|enlargement
引き伸ばし|ひきのばし|extension; prolongation
引き伸ばし|ひきのばし|enlargement
引伸ばし|ひきのばし|extension; prolongation
引伸ばし|ひきのばし|enlargement
引延ばし|ひきのばし|extension; prolongation
引延ばし|ひきのばし|enlargement
引き落とし|ひきおとし|debit; withdrawal
引き落とし|ひきおとし|pulling (one's opponent) down; frontal pull-down; hiki-otoshi
引落とし|ひきおとし|debit; withdrawal
引落とし|ひきおとし|pulling (one's opponent) down; frontal pull-down; hiki-otoshi
陰金田虫|いんきんたむし|ringworm (of the groin); jock itch; tinea cruris
陰金|いんきん|ringworm (of the groin); jock itch; tinea cruris
右向き|みぎむき|facing right
雨林|うりん|rain forest
営為|えいい|business; occupation
詠み手|よみて|writer (of a poem); composer (of a poem)
詠手|よみて|writer (of a poem); composer (of a poem)
延縄|はえなわ|longline
遠投|えんとう|long throw
塩湖|えんこ|salt (saline) lake
押し倒し|おしたおし|oshitaoshi; (frontal) push-down; (win by) knocking down opponent by pushing him with hand(s) rested on his body
黄泉路|よみじ|road to Hades
黄土色|おうどいろ|ocher (colour); ochre
どこら辺り|どこらあたり|where; whereabouts
何処ら辺り|どこらあたり|where; whereabouts
可愛げ|かわいげ|charm (e.g. of an innocent child); lovable nature
可愛気|かわいげ|charm (e.g. of an innocent child); lovable nature
科の木|しなのき|Japanese linden (Tilia japonica)
しなの木|しなのき|Japanese linden (Tilia japonica)
級の木|しなのき|Japanese linden (Tilia japonica)
榀の木|しなのき|Japanese linden (Tilia japonica)
シナノキ||Japanese linden (Tilia japonica)
果ては|はては|in the end; on top of that
花梗|かこう|flower stalk; peduncle
荷為替手形|にがわせてがた|documentary draft (bill) (draught)
解れ|ほつれ|fray; frayed spot
快投|かいとう|good pitch
海鼠腸|このわた|salted entrails of a sea cucumber; salted entrails of a trepang
界雷|かいらい|frontal thunderstorm
外掛け|そとがけ|outside leg trip
外掛|そとがけ|outside leg trip
外項|がいこう|outer term
外報|がいほう|foreign news; foreign telegram
外連|けれん|playing to the gallery; showing off; pretence; pretense
外連|けれん|surface preparation (for painting, etc.); scraping a surface clean
ケレン||playing to the gallery; showing off; pretence; pretense
ケレン||surface preparation (for painting, etc.); scraping a surface clean
街宣車|がいせんしゃ|(right-wing) propaganda truck
鎧戸|よろいど|slatted shutter; louver door (window)
滑り込み|すべりこみ|sliding
滑り込み|すべりこみ|being just in time
褐鉄鉱|かってっこう|limonite; brown hematite
完調|かんちょう|one's best form
甘夏柑|あまなつかん|sweet (variety of) Watson pomelo
甘夏|あまなつ|amanatsu (Citrus natsudaidai); sweet form of Chinese citron
アマナツ||amanatsu (Citrus natsudaidai); sweet form of Chinese citron
間仕切り|まじきり|partition between two rooms; room divider; partition wall
間じきり|まじきり|partition between two rooms; room divider; partition wall
間氷期|かんぴょうき|interglacial period (epoch); interglacial
丸屋根|まるやね|dome; vaulted roof; cupola
円屋根|まるやね|dome; vaulted roof; cupola
丸のこ|まるのこ|circular saw; buzz saw
丸鋸|まるのこ|circular saw; buzz saw
喜望峰|きぼうほう|Cape of Good Hope
旗門|きもん|(slalom) gate
気根|きこん|aerial root
稀覯本|きこうぼん|rare book
鬼子母神|きしもじん|Hariti (goddess of childbirth and children)
鬼子母神|きしぼじん|Hariti (goddess of childbirth and children)
逆回転|ぎゃくかいてん|spinning the opposite way; backspin (tennis, baseball); counter
吸い上げ|すいあげ|suction; sucking
吸上げ|すいあげ|suction; sucking
急展開|きゅうてんかい|rapid development; rapid unfolding
急冷|きゅうれい|rapid cooling
泣かされる|なかされる|to be moved to tears
泣かされる|なかされる|to suffer greatly (from)
泣く泣く|なくなく|tearfully; with (in) tears; weeping; crying
球速|きゅうそく|speed of a pitched ball; (pitcher's) pace
旧館|きゅうかん|old building; older building
居合い|いあい|iai; art of drawing one's sword, cutting down one's opponent and sheathing the sword afterwards
居合|いあい|iai; art of drawing one's sword, cutting down one's opponent and sheathing the sword afterwards
鋸草|のこぎりそう|Siberian yarrow (Achillea sibirica)
鋸草|のこぎりそう|achillea
ノコギリソウ||Siberian yarrow (Achillea sibirica)
ノコギリソウ||achillea
魚籠|びく|(wicker) basket used for carrying fish; creel
共起|きょうき|cooccurrence
強運|きょううん|good luck; very lucky
強酸|きょうさん|strong acid
教歴|きょうれき|one's teaching experience; one's career (experience) as a teacher
胸筋|きょうきん|pectoral (muscle)
極低温|きょくていおん|very (extremely) low temperature
錦鶏|きんけい|golden pheasant
欣求|ごんぐ|earnest aspiration (to go to paradise)
金器|きんき|article made of gold; gold plate
金蒔絵|きんまきえ|gold lacquer
金紗|きんしゃ|silk crepe
錦紗|きんしゃ|silk crepe
金釘|かなくぎ|iron nail; metal nail
金釘|かなくぎ|scrawl; scrawled writing
銀灰色|ぎんかいしょく|silver gray; silver grey
句碑|くひ|slab with a haiku cut on it
区割り|くわり|demarcation; marking of boundaries
くつわ虫|くつわむし|Mecopoda nipponensis (species of katydid)
轡虫|くつわむし|Mecopoda nipponensis (species of katydid)
クツワムシ||Mecopoda nipponensis (species of katydid)
継親|ままおや|stepparent
継粉|ままこ|unmixed-in lump of flour
罫紙|けいし|ruled (lined) paper
軽電機|けいでんき|(electrical) appliance
決まって|きまって|always; without fail; invariably; usually; regularly
極まって|きまって|always; without fail; invariably; usually; regularly
決選|けっせん|final election; run-off
血刀|ちがたな|bloody sword (blade)
建学|けんがく|foundation of a school
献辞|けんじ|dedication
絹層雲|けんそううん|cirrostratus; cirrostratus cloud
巻層雲|けんそううん|cirrostratus; cirrostratus cloud
見付|みつけ|approach (to a castle gate)
見付|みつけ|front of a structural member
見附|みつけ|approach (to a castle gate)
見附|みつけ|front of a structural member
見付け|みつけ|approach (to a castle gate)
見付け|みつけ|front of a structural member
見附け|みつけ|approach (to a castle gate)
見附け|みつけ|front of a structural member
原液|げんえき|undiluted solution (of)
原酒|げんしゅ|refined sake not diluted in water; undiluted sake; unblended whisky (whiskey)
呼び塩|よびじお|desalting (drawing salt) from salted food; salt used for desalting
戸車|とぐるま|sash roller; door roller; roller for a sliding door
五位鷺|ごいさぎ|black-crowned night heron (Nycticorax nycticorax); night heron
ゴイサギ||black-crowned night heron (Nycticorax nycticorax); night heron
後屈|こうくつ|retroflexion
後置詞|こうちし|postposition
後背地|こうはいち|hinterland
御神体|ごしんたい|shintai; object of worship believed to contain the spirit of a deity, typically housed in a shrine
ご神体|ごしんたい|shintai; object of worship believed to contain the spirit of a deity, typically housed in a shrine
碁笥|ごけ|go-stone container
誤爆|ごばく|bombing (shelling) the wrong target; (be killed by) friendly fire
公魚|わかさぎ|Japanese pond smelt (Hypomesus nipponensis)
若鷺|わかさぎ|Japanese pond smelt (Hypomesus nipponensis)
鰙|わかさぎ|Japanese pond smelt (Hypomesus nipponensis)
ワカサギ||Japanese pond smelt (Hypomesus nipponensis)
公権力|こうけんりょく|public power; governmental authority
口開け|くちあけ|opening (of a bottle); broaching
口開け|くちあけ|beginning; opening; commencement (e.g. of sales); first sale
口明け|くちあけ|opening (of a bottle); broaching
口明け|くちあけ|beginning; opening; commencement (e.g. of sales); first sale
好んで|このんで|by (from) choice; by (for) preference; of one's own accord; of one's (own) free will; on purpose; deliberately; intentionally
工船|こうせん|factory boat (ship); floating cannery
広く|ひろく|widely; far and wide; extensively; universally
抗癌剤|こうがんざい|anticancer drug
抗がん剤|こうがんざい|anticancer drug
抗酸菌|こうさんきん|acid-fast bacterium
硬骨魚|こうこつぎょ|bony fish; osteichthyan
紅斑|こうはん|red spots; erythema
腔腸動物|こうちょうどうぶつ|coelenterate
腔腸動物|くうちょうどうぶつ|coelenterate
あばら屋|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
あばら屋|あばらや|my house; my home
あばら屋|あばらや|small resting place comprising four pillars and a roof (with no walls)
あばら家|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
あばら家|あばらや|my house; my home
あばら家|あばらや|small resting place comprising four pillars and a roof (with no walls)
荒ら屋|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
荒ら屋|あばらや|my house; my home
荒ら屋|あばらや|small resting place comprising four pillars and a roof (with no walls)
荒ら家|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
荒ら家|あばらや|my house; my home
荒ら家|あばらや|small resting place comprising four pillars and a roof (with no walls)
荒屋|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
荒屋|あばらや|my house; my home
荒屋|あばらや|small resting place comprising four pillars and a roof (with no walls)
荒家|あばらや|dilapidated house; tumbledown house; hovel; miserable shack
荒家|あばらや|my house; my home
荒家|あばらや|small resting place comprising four pillars and a roof (with no walls)
鉱産物|こうさんぶつ|mineral product; minerals
合コン|ごうコン|joint party (e.g. by students from several colleges); combined party; mixer; two or more groups, esp. female and male students, combining for a party
合札|あいふだ|check (e.g. baggage claim); tag; token
合札|あいふだ|tally; score
合い札|あいふだ|check (e.g. baggage claim); tag; token
合い札|あいふだ|tally; score
轟き|とどろき|roar; peal; rumble; booming
轟き|とどろき|beating; pounding; throbbing
黒鳥|こくちょう|black swan (Cygnus atratus)
コクチョウ||black swan (Cygnus atratus)
今川焼き|いまがわやき|Japanese muffin containing bean jam, served hot
今川焼|いまがわやき|Japanese muffin containing bean jam, served hot
紺絣|こんがすり|dark blue cloth with white splash patterns
紺飛白|こんがすり|dark blue cloth with white splash patterns
左投げ|ひだりなげ|left-handed pitching
差し込み|さしこみ|insertion
差し込み|さしこみ|plug; (electrical) outlet; power point
差し込み|さしこみ|spasm of pain; griping pain; (fit of) convulsions; stitch
差込み|さしこみ|insertion
差込み|さしこみ|plug; (electrical) outlet; power point
差込み|さしこみ|spasm of pain; griping pain; (fit of) convulsions; stitch
差込|さしこみ|insertion
差込|さしこみ|plug; (electrical) outlet; power point
差込|さしこみ|spasm of pain; griping pain; (fit of) convulsions; stitch
差動|さどう|differential motion
砂肝|すなぎも|gizzard
砂ぎも|すなぎも|gizzard
再加工|さいかこう|reprocessing
再販売|さいはんばい|resale
最後列|さいこうれつ|(very) back (last) row; rearmost row
作中人物|さくちゅうじんぶつ|characters (in a novel, movie, etc.)
錯簡|さっかん|pages (in a book) out of order due to an error in binding
捌け|はけ|drainage; draining
三和音|さんわおん|triad
山雀|やまがら|varied tit (species of titmouse, Poecile varius)
ヤマガラ||varied tit (species of titmouse, Poecile varius)
山百合|やまゆり|golden-rayed lily (Lilium auratum)
ヤマユリ||golden-rayed lily (Lilium auratum)
山歩き|やまあるき|mountain-walking; hiking
山砲|さんぽう|mountain gun
石女|うまずめ|barren woman; sterile woman
石女|せきじょ|barren woman; sterile woman
産まず女|うまずめ|barren woman; sterile woman
不生女|うまずめ|barren woman; sterile woman
産油国|さんゆこく|oil-producing countries (nations)
酸模|すかんぽ|garden (cock) sorrel; sour dock
残り香|のこりが|lingering scent (of, from)
四則|しそく|four (fundamental) rules of arithmetic
四年生|よねんせい|fourth-year student
四半世紀|しはんせいき|quarter of a century
始生代|しせいだい|Archaeozoic (Archeozoic) Era
子安貝|こやすがい|cowrie (esp. the chocolate cowrie, Mauritia mauritiana); cowry
小安貝|こやすがい|cowrie (esp. the chocolate cowrie, Mauritia mauritiana); cowry
コヤスガイ||cowrie (esp. the chocolate cowrie, Mauritia mauritiana); cowry
小鹿|こじか|fawn
子鹿|こじか|fawn
子嚢菌|しのうきん|ascomycete; sac fungus
子のう菌|しのうきん|ascomycete; sac fungus
市松模様|いちまつもよう|checks; check (checkered, chequered) pattern; checkerboard
旨煮|うまに|fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
甘煮|うまに|fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
甘煮|あまに|fish, meat, and vegetables stewed in a thick, sweet sauce of soy sauce, sugar and mirin
私家版|しかばん|privately printed book; private (press) edition
私消|ししょう|embezzlement; misappropriation of public funds; defalcation
紫綬褒章|しじゅほうしょう|Medal of Honor with Purple Ribbon (awarded for scholarly or artistic achievement)
